charter,2015,2016,2017,2018,2019,2021,state
0.0,27.385786802030456,29.84771573604061,29.22030456852792,28.693883248730963,29.500634517766496,31.06036802030457,california
1.0,25.95,29.771428571428572,29.30657142857143,28.61692857142857,29.303785714285713,27.400928571428572,california
0.0,,,,28.2241653418124,27.375516693163753,22.02066772655008,illinois
1.0,,,,15.461538461538462,15.707692307692307,6.063461538461539,illinois
