b_level,2015,2016,2017,2018,2019,2021,state
high,42.5,49.0,40.78,37.8,40.26,44.205,CA
low,54.22727272727273,57.47521551724138,57.972346609257265,54.328963282937366,55.76161290322581,56.82932403433477,CA
mid,35.55172413793103,42.46153846153846,41.36083333333333,35.644285714285715,35.655833333333334,45.034285714285716,CA
high,,,,8.243548387096773,7.641935483870968,5.531147540983606,IL
low,,,,34.707761732851985,33.9681654676259,28.17870036101083,IL
mid,,,,22.59846153846154,19.88730158730159,15.918181818181816,IL
high,,,,,71.53333333333333,39.34615384615385,NYC
low,,,,,87.3407494145199,78.18020679468242,NYC
mid,,,,,73.51140065146579,58.375,NYC
