StateName,StateAbbrev,DataLevel,Charter,SchoolName,SchoolType,NCESSchoolID,StateAssignedSchoolID,DistrictName,DistrictType,NCESDistrictID,StateAssignedDistrictID,EnrollmentTotal,TimePeriodInterval,TimePeriodStart,TimePeriodEnd,LearningModel,LearningModelGrK5,LearningModelGr68,LearningModelGr912,LearningModelStateCat,LearningModelStateCatGrK5,LearningModelStateCatGr68,LearningModelStateCatGr912,EnrollmentInPerson,EnrollmentHybrid,EnrollmentVirtual,StaffCount,StaffCountInPerson
Texas,TX,School,No,Dripping Springs High School,Regular school,480000801508,105904001,Dripping Springs ISD,Regular local school district,4800008,105904,2183,Bi-annually,1/1/21,6/1/21,In-person,,,,,,,,1090,0,1093,,
Texas,TX,School,No,Dripping Springs Middle,Regular school,480000806094,105904041,Dripping Springs ISD,Regular local school district,4800008,105904,886,Bi-annually,9/1/20,12/31/20,In-person,,,,,,,,703,0,183,,
Texas,TX,School,No,Dripping Springs Middle,Regular school,480000806094,105904041,Dripping Springs ISD,Regular local school district,4800008,105904,907,Bi-annually,1/1/21,6/1/21,In-person,,,,,,,,687,0,220,,
Texas,TX,School,No,Walnut Springs Elementary,Regular school,480000806989,105904102,Dripping Springs ISD,Regular local school district,4800008,105904,707,Bi-annually,9/1/20,12/31/20,In-person,,,,,,,,593,0,114,,
Texas,TX,School,No,Walnut Springs Elementary,Regular school,480000806989,105904102,Dripping Springs ISD,Regular local school district,4800008,105904,749,Bi-annually,1/1/21,6/1/21,In-person,,,,,,,,632,0,117,,
Texas,TX,School,No,Rooster Springs Elementary,Regular school,480000811280,105904103,Dripping Springs ISD,Regular local school district,4800008,105904,815,Bi-annually,9/1/20,12/31/20,In-person,,,,,,,,608,0,207,,
Texas,TX,School,No,Rooster Springs Elementary,Regular school,480000811280,105904103,Dripping Springs ISD,Regular local school district,4800008,105904,845,Bi-annually,1/1/21,6/1/21,In-person,,,,,,,,704,0,141,,
Texas,TX,School,No,Sycamore Springs Elementary,Regular school,480000813086,105904104,Dripping Springs ISD,Regular local school district,4800008,105904,975,Bi-annually,9/1/20,12/31/20,In-person,,,,,,,,704,0,271,,
Texas,TX,School,No,Sycamore Springs Elementary,Regular school,480000813086,105904104,Dripping Springs ISD,Regular local school district,4800008,105904,1007,Bi-annually,1/1/21,6/1/21,In-person,,,,,,,,741,0,266,,
Texas,TX,School,No,Sycamore Springs Middle,Regular school,480000813151,105904042,Dripping Springs ISD,Regular local school district,4800008,105904,857,Bi-annually,9/1/20,12/31/20,In-person,,,,,,,,622,0,235,,
Texas,TX,School,No,Sycamore Springs Middle,Regular school,480000813151,105904042,Dripping Springs ISD,Regular local school district,4800008,105904,869,Bi-annually,1/1/21,6/1/21,In-person,,,,,,,,657,0,212,,
Texas,TX,School,No,Jacobs Well El,Regular school,480000905246,105905101,Wimberley ISD,Regular local school district,4800009,105905,538,Bi-annually,9/1/20,12/31/20,In-person,,,,,,,,454,0,84,,
Texas,TX,School,No,Jacobs Well El,Regular school,480000905246,105905101,Wimberley ISD,Regular local school district,4800009,105905,537,Bi-annually,1/1/21,6/1/21,In-person,,,,,,,,492,0,45,,
Texas,TX,School,No,Wimberley High School,Regular school,480000906198,105905001,Wimberley ISD,Regular local school district,4800009,105905,815,Bi-annually,9/1/20,12/31/20,In-person,,,,,,,,513,0,302,,
Texas,TX,School,No,Wimberley High School,Regular school,480000906198,105905001,Wimberley ISD,Regular local school district,4800009,105905,796,Bi-annually,1/1/21,6/1/21,In-person,,,,,,,,526,0,270,,
Texas,TX,School,No,Scudder Pri,Regular school,480000906499,105905102,Wimberley ISD,Regular local school district,4800009,105905,584,Bi-annually,9/1/20,12/31/20,In-person,,,,,,,,480,0,104,,
Texas,TX,School,No,Scudder Pri,Regular school,480000906499,105905102,Wimberley ISD,Regular local school district,4800009,105905,601,Bi-annually,1/1/21,6/1/21,In-person,,,,,,,,537,0,64,,
Texas,TX,School,No,Danforth Junior High,Regular school,480000907342,105905041,Wimberley ISD,Regular local school district,4800009,105905,620,Bi-annually,9/1/20,12/31/20,In-person,,,,,,,,488,0,132,,
Texas,TX,School,No,Danforth Junior High,Regular school,480000907342,105905041,Wimberley ISD,Regular local school district,4800009,105905,618,Bi-annually,1/1/21,6/1/21,In-person,,,,,,,,550,0,68,,
Texas,TX,School,No,Jack C Hays High School,Regular school,480001005244,105906001,Hays CISD,Regular local school district,4800010,105906,2257,Bi-annually,9/1/20,12/31/20,In-person,,,,,,,,1003,0,1254,,
Texas,TX,School,No,Jack C Hays High School,Regular school,480001005244,105906001,Hays CISD,Regular local school district,4800010,105906,2238,Bi-annually,1/1/21,6/1/21,In-person,,,,,,,,1149,0,1089,,
Texas,TX,School,No,Kyle Elementary,Regular school,480001005245,105906101,Hays CISD,Regular local school district,4800010,105906,531,Bi-annually,9/1/20,12/31/20,In-person,,,,,,,,273,0,258,,
Texas,TX,School,No,Kyle Elementary,Regular school,480001005245,105906101,Hays CISD,Regular local school district,4800010,105906,530,Bi-annually,1/1/21,6/1/21,In-person,,,,,,,,343,0,187,,
Texas,TX,School,No,R C Barton Middle,Regular school,480001006199,105906041,Hays CISD,Regular local school district,4800010,105906,740,Bi-annually,9/1/20,12/31/20,In-person,,,,,,,,382,0,358,,
Texas,TX,School,No,R C Barton Middle,Regular school,480001006199,105906041,Hays CISD,Regular local school district,4800010,105906,743,Bi-annually,1/1/21,6/1/21,In-person,,,,,,,,463,0,280,,
Texas,TX,School,No,Tom Green Elementary,Regular school,480001006346,105906103,Hays CISD,Regular local school district,4800010,105906,755,Bi-annually,9/1/20,12/31/20,In-person,,,,,,,,371,0,384,,
Texas,TX,School,No,Tom Green Elementary,Regular school,480001006346,105906103,Hays CISD,Regular local school district,4800010,105906,752,Bi-annually,1/1/21,6/1/21,In-person,,,,,,,,465,0,287,,
Texas,TX,School,No,Alter Impact Center,Other/alternative school,480001006990,105906002,Hays CISD,Regular local school district,4800010,105906,14,Bi-annually,9/1/20,12/31/20,In-person,,,,,,,,8,0,6,,
Texas,TX,School,No,Alter Impact Center,Other/alternative school,480001006990,105906002,Hays CISD,Regular local school district,4800010,105906,10,Bi-annually,1/1/21,6/1/21,In-person,,,,,,,,7,0,3,,
Texas,TX,School,No,Buda Elementary,Regular school,480001007343,105906106,Hays CISD,Regular local school district,4800010,105906,662,Bi-annually,9/1/20,12/31/20,In-person,,,,,,,,357,0,305,,
Texas,TX,School,No,Buda Elementary,Regular school,480001007343,105906106,Hays CISD,Regular local school district,4800010,105906,661,Bi-annually,1/1/21,6/1/21,In-person,,,,,,,,420,0,241,,
Texas,TX,School,No,Live Oak Academy,Other/alternative school,480001008835,105906004,Hays CISD,Regular local school district,4800010,105906,185,Bi-annually,9/1/20,12/31/20,In-person,,,,,,,,50,0,135,,
Texas,TX,School,No,Live Oak Academy,Other/alternative school,480001008835,105906004,Hays CISD,Regular local school district,4800010,105906,209,Bi-annually,1/1/21,6/1/21,In-person,,,,,,,,41,0,168,,
Texas,TX,School,No,Eric Dahlstrom Middle,Regular school,480001008836,105906043,Hays CISD,Regular local school district,4800010,105906,907,Bi-annually,9/1/20,12/31/20,In-person,,,,,,,,567,0,340,,
Texas,TX,School,No,Eric Dahlstrom Middle,Regular school,480001008836,105906043,Hays CISD,Regular local school district,4800010,105906,902,Bi-annually,1/1/21,6/1/21,In-person,,,,,,,,636,0,266,,
Texas,TX,School,No,Laura B Wallace Middle,Regular school,480001008837,105906044,Hays CISD,Regular local school district,4800010,105906,783,Bi-annually,9/1/20,12/31/20,In-person,,,,,,,,401,0,382,,
Texas,TX,School,No,Laura B Wallace Middle,Regular school,480001008837,105906044,Hays CISD,Regular local school district,4800010,105906,782,Bi-annually,1/1/21,6/1/21,In-person,,,,,,,,504,0,278,,
Texas,TX,School,No,Elm Grove Elementary,Regular school,480001008838,105906107,Hays CISD,Regular local school district,4800010,105906,812,Bi-annually,9/1/20,12/31/20,In-person,,,,,,,,505,0,307,,
Texas,TX,School,No,Elm Grove Elementary,Regular school,480001008838,105906107,Hays CISD,Regular local school district,4800010,105906,813,Bi-annually,1/1/21,6/1/21,In-person,,,,,,,,615,0,198,,
Texas,TX,School,No,Susie Fuentes Elementary,Regular school,480001008839,105906108,Hays CISD,Regular local school district,4800010,105906,647,Bi-annually,9/1/20,12/31/20,In-person,,,,,,,,258,0,389,,
Texas,TX,School,No,Susie Fuentes Elementary,Regular school,480001008839,105906108,Hays CISD,Regular local school district,4800010,105906,645,Bi-annually,1/1/21,6/1/21,In-person,,,,,,,,394,0,251,,
Texas,TX,School,No,Hemphill Elementary,Regular school,480001008840,105906109,Hays CISD,Regular local school district,4800010,105906,351,Bi-annually,9/1/20,12/31/20,In-person,,,,,,,,200,0,151,,
Texas,TX,School,No,Hemphill Elementary,Regular school,480001008840,105906109,Hays CISD,Regular local school district,4800010,105906,358,Bi-annually,1/1/21,6/1/21,In-person,,,,,,,,226,0,132,,
Texas,TX,School,No,Tobias Elementary,Regular school,480001009290,105906110,Hays CISD,Regular local school district,4800010,105906,626,Bi-annually,9/1/20,12/31/20,In-person,,,,,,,,308,0,318,,
Texas,TX,School,No,Tobias Elementary,Regular school,480001009290,105906110,Hays CISD,Regular local school district,4800010,105906,630,Bi-annually,1/1/21,6/1/21,In-person,,,,,,,,419,0,211,,
Texas,TX,School,No,Lehman High School,Regular school,480001009624,105906005,Hays CISD,Regular local school district,4800010,105906,2123,Bi-annually,9/1/20,12/31/20,In-person,,,,,,,,839,0,1284,,
Texas,TX,School,No,Lehman High School,Regular school,480001009624,105906005,Hays CISD,Regular local school district,4800010,105906,2079,Bi-annually,1/1/21,6/1/21,In-person,,,,,,,,970,0,1109,,
Texas,TX,School,No,Armando Chapa Middle,Regular school,480001010804,105906045,Hays CISD,Regular local school district,4800010,105906,673,Bi-annually,9/1/20,12/31/20,In-person,,,,,,,,271,0,402,,
Texas,TX,School,No,Armando Chapa Middle,Regular school,480001010804,105906045,Hays CISD,Regular local school district,4800010,105906,679,Bi-annually,1/1/21,6/1/21,In-person,,,,,,,,356,0,323,,
Texas,TX,School,No,D J Red Simon Middle,Regular school,480001010805,105906046,Hays CISD,Regular local school district,4800010,105906,696,Bi-annually,9/1/20,12/31/20,In-person,,,,,,,,308,0,388,,
Texas,TX,School,No,D J Red Simon Middle,Regular school,480001010805,105906046,Hays CISD,Regular local school district,4800010,105906,707,Bi-annually,1/1/21,6/1/21,In-person,,,,,,,,464,0,243,,
Texas,TX,School,No,Laura B Negley Elementary,Regular school,480001010806,105906111,Hays CISD,Regular local school district,4800010,105906,831,Bi-annually,9/1/20,12/31/20,In-person,,,,,,,,482,0,349,,
Texas,TX,School,No,Laura B Negley Elementary,Regular school,480001010806,105906111,Hays CISD,Regular local school district,4800010,105906,848,Bi-annually,1/1/21,6/1/21,In-person,,,,,,,,577,0,271,,
Texas,TX,School,No,Science Hall Elementary,Regular school,480001010807,105906112,Hays CISD,Regular local school district,4800010,105906,519,Bi-annually,9/1/20,12/31/20,In-person,,,,,,,,255,0,264,,
Texas,TX,School,No,Science Hall Elementary,Regular school,480001010807,105906112,Hays CISD,Regular local school district,4800010,105906,535,Bi-annually,1/1/21,6/1/21,In-person,,,,,,,,315,0,220,,
Texas,TX,School,No,Sam Rayburn Elementary STEAM Academy,Regular school,480001010808,105906113,Hays CISD,Regular local school district,4800010,105906,622,Bi-annually,9/1/20,12/31/20,In-person,,,,,,,,370,0,252,,
Texas,TX,School,No,Sam Rayburn Elementary STEAM Academy,Regular school,480001010808,105906113,Hays CISD,Regular local school district,4800010,105906,633,Bi-annually,1/1/21,6/1/21,In-person,,,,,,,,452,0,181,,
Texas,TX,School,No,Camino Real Elementary,Regular school,480001010809,105906114,Hays CISD,Regular local school district,4800010,105906,749,Bi-annually,9/1/20,12/31/20,In-person,,,,,,,,309,0,440,,
Texas,TX,School,No,Camino Real Elementary,Regular school,480001010809,105906114,Hays CISD,Regular local school district,4800010,105906,763,Bi-annually,1/1/21,6/1/21,In-person,,,,,,,,380,0,383,,
