,schoolcode,year,charter,dropout,schoolmode,virtualper,hybridper,totalenroll,lowincome,white,black,hispanic,asian
59,30906001,2018,0.0,0,0.0,0.0,0.0,116,45.6897,81.8966,0.0,13.7931,0.0
60,31901008,2018,0.0,0,0.0,0.0,0.0,422,96.4455,2.6066,0.4739,95.4976,1.4218
61,31903005,2018,0.0,0,0.0,0.0,0.0,338,62.1302,6.8047,0.8876,91.716,0.2959
62,31903008,2018,0.0,0,0.0,0.0,0.0,335,59.7015,6.2687,0.2985,90.4478,2.0896
63,31903118,2018,0.0,0,0.0,0.0,0.0,259,92.278,3.0888,0.0,96.5251,0.0
64,31912005,2018,0.0,0,0.0,0.0,0.0,1,100.0,0.0,0.0,100.0,0.0
65,31916001,2018,0.0,0,0.0,0.0,0.0,656,54.4207,3.2012,1.2195,92.5305,2.5915
66,31916004,2018,0.0,0,0.0,0.0,0.0,897,58.7514,4.4593,1.4493,78.8183,14.2698
67,31916005,2018,0.0,0,0.0,0.0,0.0,817,41.1261,8.6903,0.7344,76.2546,13.5863
68,32902002,2018,0.0,0,0.0,0.0,0.0,699,72.6753,39.7711,17.4535,37.9113,2.0029
69,33901001,2018,0.0,0,0.0,0.0,0.0,50,24.0,88.0,2.0,10.0,0.0
70,33902001,2018,0.0,0,0.0,0.0,0.0,221,20.362,86.4253,1.81,8.5973,0.0
71,33904001,2018,0.0,0,0.0,0.0,0.0,96,35.4167,85.4167,0.0,11.4583,0.0
72,34902001,2018,0.0,0,0.0,0.0,0.0,33,75.7576,72.7273,15.1515,6.0606,0.0
73,34903001,2018,0.0,0,0.0,0.0,0.0,373,55.496,75.6032,10.7239,9.9196,0.5362
74,34909001,2018,0.0,0,0.0,0.0,0.0,73,54.7945,91.7808,2.7397,1.3699,0.0
75,35903001,2018,0.0,0,0.0,0.0,0.0,81,12.3457,85.1852,2.4691,8.642,0.0
76,36902005,2018,0.0,0,0.0,0.0,0.0,40,45.0,62.5,5.0,27.5,0.0
77,36902006,2018,0.0,0,0.0,0.0,0.0,10,70.0,70.0,20.0,10.0,0.0
78,37904004,2018,0.0,0,0.0,0.0,0.0,17,70.5882,29.4118,47.0588,23.5294,0.0
79,37909001,2018,0.0,0,0.0,0.0,0.0,81,54.321,76.5432,4.9383,14.8148,0.0
80,39904001,2018,0.0,0,0.0,0.0,0.0,43,48.8372,90.6977,2.3256,4.6512,0.0
81,39905001,2018,0.0,0,0.0,0.0,0.0,50,66.0,88.0,0.0,10.0,0.0
82,40901001,2018,0.0,0,0.0,0.0,0.0,101,95.0495,10.8911,1.9802,86.1386,0.0
83,41901001,2018,0.0,0,0.0,0.0,0.0,88,44.3182,62.5,0.0,36.3636,0.0
84,42903001,2018,0.0,0,0.0,0.0,0.0,73,68.4932,65.7534,1.3699,31.5068,0.0
85,43801001,2018,0.0,0,0.0,0.0,0.0,238,10.9244,40.3361,8.4034,13.0252,32.7731
86,43903001,2018,0.0,0,0.0,0.0,0.0,826,21.6707,67.6755,3.9952,23.1235,0.7264
87,43905008,2018,0.0,0,0.0,0.0,0.0,2226,15.9479,46.7655,17.9695,18.6433,12.5337
88,43905010,2018,0.0,0,0.0,0.0,0.0,1847,5.6308,58.0942,6.5512,11.3156,19.9783
89,43908001,2018,0.0,0,0.0,0.0,0.0,867,12.8028,68.1661,8.3045,17.6471,1.0381
90,43910008,2018,0.0,0,0.0,0.0,0.0,448,9.375,60.0446,3.3482,15.8482,14.2857
91,43919001,2018,0.0,0,0.0,0.0,0.0,1510,3.1788,78.6755,2.2517,7.6821,7.1523
92,45905002,2018,0.0,0,0.0,0.0,0.0,209,31.5789,49.7608,8.6124,37.3206,0.0
93,46901041,2018,0.0,0,0.0,0.0,0.0,5,60.0,60.0,20.0,0.0,20.0
94,46902206,2018,0.0,0,0.0,0.0,0.0,217,47.4654,47.4654,3.6866,46.0829,0.4608
95,47901001,2018,0.0,0,0.0,0.0,0.0,357,61.0644,49.8599,1.4006,46.7787,0.5602
96,47903001,2018,0.0,0,0.0,0.0,0.0,38,81.5789,31.5789,0.0,65.7895,0.0
97,47905001,2018,0.0,0,0.0,0.0,0.0,41,70.7317,82.9268,0.0,17.0732,0.0
98,48901001,2018,0.0,0,0.0,0.0,0.0,64,64.0625,34.375,0.0,62.5,1.5625
99,48903001,2018,0.0,0,0.0,0.0,0.0,97,76.2887,49.4845,0.0,47.4227,0.0
100,49902001,2018,0.0,0,0.0,0.0,0.0,160,13.75,91.875,0.0,4.375,1.25
101,49907001,2018,0.0,0,0.0,0.0,0.0,173,12.1387,91.9075,0.578,2.3121,1.1561
102,50901001,2018,0.0,0,0.0,0.0,0.0,89,57.3034,75.2809,0.0,24.7191,0.0
103,50904001,2018,0.0,0,0.0,0.0,0.0,54,62.963,75.9259,0.0,22.2222,0.0
104,50909001,2018,0.0,0,0.0,0.0,0.0,94,44.6809,85.1064,0.0,13.8298,0.0
105,51901001,2018,0.0,0,0.0,0.0,0.0,75,69.3333,46.6667,10.6667,40.0,0.0
106,54902001,2018,0.0,0,0.0,0.0,0.0,82,80.4878,18.2927,1.2195,80.4878,0.0
107,54903001,2018,0.0,0,0.0,0.0,0.0,136,77.2059,18.3824,1.4706,79.4118,0.7353
108,56902001,2018,0.0,0,0.0,0.0,0.0,53,54.717,56.6038,1.8868,39.6226,0.0
109,57802001,2018,0.0,0,0.0,0.0,0.0,147,87.7551,0.6803,25.1701,74.1497,0.0
110,57803002,2018,0.0,0,0.0,0.0,0.0,546,24.5421,12.0879,6.4103,24.359,53.1136
111,57803010,2018,0.0,0,0.0,0.0,0.0,446,86.5471,0.8969,4.4843,93.2735,0.4484
112,57807001,2018,0.0,0,0.0,0.0,0.0,479,77.2443,1.0438,51.5658,46.1378,0.4175
113,57808101,2018,0.0,0,0.0,0.0,0.0,93,66.6667,0.0,39.7849,51.6129,5.3763
114,57808102,2018,0.0,0,0.0,0.0,0.0,42,2.381,9.5238,42.8571,11.9048,33.3333
115,57814005,2018,0.0,0,0.0,0.0,0.0,1,100.0,0.0,100.0,0.0,0.0
116,57819001,2018,0.0,0,0.0,0.0,0.0,16,100.0,0.0,18.75,81.25,0.0
117,57845001,2018,0.0,0,0.0,0.0,0.0,176,17.6136,52.2727,9.6591,32.3864,1.7045
118,57847001,2018,0.0,0,0.0,0.0,0.0,231,20.7792,29.8701,28.1385,32.4675,2.5974
119,57848006,2018,0.0,0,0.0,0.0,0.0,560,62.5,7.6786,26.25,60.1786,3.3929
120,57850001,2018,0.0,0,0.0,0.0,0.0,26,42.3077,23.0769,23.0769,46.1538,0.0
121,57850002,2018,0.0,0,0.0,0.0,0.0,12,58.3333,50.0,0.0,41.6667,0.0
122,57903005,2018,0.0,0,0.0,0.0,0.0,248,79.4355,10.0806,22.9839,64.5161,0.8065
123,57903010,2018,0.0,0,0.0,0.0,0.0,339,81.4159,4.4248,4.1298,83.4808,6.7847
124,57905026,2018,0.0,0,0.0,0.0,0.0,428,60.7477,14.486,10.0467,59.1121,13.3178
