,schoolcode,year,charter,mathpass,schoolmode,virtualper,hybridper,totaltested,lowincome,white,black,hispanic,asian
0,1902001,2015,0.0,0.6,0.0,0.0,0,45,0.28888888888888886,0.8222222222222222,0.022222222222222223,0.044444444444444446,0.044444444444444446
1,1902001,2016,0.0,0.47368421052631576,0.0,0.0,0,38,0.2631578947368421,0.868421052631579,0.0,0.0,0.0
2,1902001,2017,0.0,0.4146341463414634,0.0,0.0,0,41,0.36585365853658536,0.8048780487804879,0.07317073170731707,0.07317073170731707,0.0
3,1902001,2018,0.0,0.5957446808510638,0.0,0.0,0,47,0.2978723404255319,0.8723404255319149,0.02127659574468085,0.06382978723404255,0.0
4,1902001,2019,0.0,0.6304347826086957,0.0,0.0,0,46,0.5869565217391305,0.782608695652174,0.021739130434782608,0.08695652173913043,0.0
5,1902001,2021,0.0,0.6829268292682927,0.0,0.0,0,41,0.43902439024390244,0.8292682926829268,0.024390243902439025,0.12195121951219512,0.024390243902439025
6,1903001,2015,0.0,0.550561797752809,0.0,0.0,0,89,0.47191011235955055,0.8764044943820225,0.033707865168539325,0.0449438202247191,0.02247191011235955
7,1903001,2016,0.0,0.6842105263157895,0.0,0.0,0,95,0.5473684210526316,0.8736842105263158,0.021052631578947368,0.09473684210526316,0.010526315789473684
8,1903001,2017,0.0,0.5188679245283019,0.0,0.0,0,106,0.5188679245283019,0.7358490566037735,0.07547169811320754,0.10377358490566038,0.009433962264150943
9,1903001,2018,0.0,0.4883720930232558,0.0,0.0,0,129,0.5271317829457365,0.8372093023255814,0.031007751937984496,0.07751937984496124,0.0
10,1903001,2019,0.0,0.5961538461538461,0.0,0.0,0,104,0.4519230769230769,0.7692307692307693,0.0673076923076923,0.09615384615384616,0.009615384615384616
11,1903001,2021,0.0,0.7142857142857143,0.0,0.0,0,91,0.42857142857142855,0.7362637362637363,0.04395604395604396,0.16483516483516483,0.0
12,1904001,2015,0.0,0.6153846153846154,0.0,0.0,0,52,0.5,0.7884615384615384,0.057692307692307696,0.1346153846153846,0.0
13,1904001,2016,0.0,0.5,0.0,0.0,0,64,0.5,0.859375,0.0625,0.078125,0.0
14,1904001,2017,0.0,0.5373134328358209,0.0,0.0,0,67,0.5373134328358209,0.7313432835820896,0.07462686567164178,0.16417910447761194,0.0
15,1904001,2018,0.0,0.5671641791044776,0.0,0.0,0,67,0.5223880597014925,0.7611940298507462,0.08955223880597014,0.08955223880597014,0.029850746268656716
16,1904001,2019,0.0,0.4696969696969697,0.0,0.0,0,66,0.5151515151515151,0.8787878787878788,0.06060606060606061,0.045454545454545456,0.0
17,1904001,2021,0.0,0.6229508196721312,0.0,0.0,0,61,0.47540983606557374,0.7540983606557377,0.13114754098360656,0.06557377049180328,0.01639344262295082
18,1906002,2015,0.0,0.42857142857142855,0.0,0.0,0,28,0.35714285714285715,0.7857142857142857,0.10714285714285714,0.07142857142857142,0.03571428571428571
19,1906002,2016,0.0,0.41935483870967744,0.0,0.0,0,31,0.4838709677419355,0.7741935483870968,0.0967741935483871,0.0967741935483871,0.0
