,schoolcode,charter,white,black,hispanic,lowincome,year,hybridper,virtualper,remote,totalenrolled,dropout
47,120130250260001,0,0.9787234042553192,0.0,0.0,0.3191489361702128,2019,0.0,0.0,0.0,191,9.3
48,120130350260001,0,0.961038961038961,0.0,0.0,0.2467532467532467,2021,0.0,0.0909090909090909,0.1818181818181817,383,3.8
49,120130350260001,0,0.9649122807017544,0.0,0.0,0.5087719298245614,2019,0.0,0.0,0.0,352,6.9
50,120170010260001,0,0.8214285714285714,0.0,0.0,0.0,2021,0.2727272727272727,0.0,0.2272727272727273,103,1.0
51,120170010260001,0,0.9642857142857144,0.0,0.0,0.6428571428571429,2019,0.0,0.0,0.0,108,3.6
52,120170020260001,0,0.908256880733945,0.0,0.0,0.3577981651376147,2021,0.0,0.0,0.0909090909090909,493,3.7
53,120170020260001,0,0.9428571428571428,0.0,0.0,0.3714285714285714,2019,0.0,0.0,0.0,460,2.3
54,120170030260001,0,1.0,0.0,0.0,0.0,2021,0.0909090909090909,0.0,0.1363636363636362,85,5.9
55,120170030260001,0,1.0,0.0,0.0,0.0,2019,0.0,0.0,0.0,85,3.3
56,120170040260001,0,1.0,0.0,0.0,0.4634146341463415,2021,0.0909090909090909,0.0,0.1363636363636362,190,6.9
57,120170040260001,0,0.951219512195122,0.0,0.0,0.3658536585365853,2019,0.0,0.0,0.0,173,5.6
58,120400010260001,0,0.96,0.0,0.0,0.35,2021,0.0,0.0,0.0909090909090909,415,2.7
59,120400010260001,0,0.9661016949152542,0.0,0.0,0.3389830508474576,2019,0.0,0.0,0.0,453,2.7
60,120510100260001,0,0.9344262295081968,0.0,0.0,0.4426229508196721,2021,0.0909090909090909,0.0,0.1363636363636362,394,3.5
61,120510100260001,0,0.9491525423728814,0.0,0.0,0.5254237288135594,2019,0.0,0.0,0.0,409,4.6
62,120510200260008,0,0.9375,0.0,0.0,0.45,2021,0.1818181818181818,0.0909090909090909,0.2727272727272728,322,6.1
63,120510200260008,0,0.9027777777777778,0.0,0.0,0.5,2019,0.0,0.0,0.0,319,6.5
64,120800010260001,0,0.9130434782608696,0.0,0.0,0.2670807453416149,2021,0.4545454545454545,0.0909090909090909,0.3181818181818181,722,4.8
65,120800010260001,0,0.929936305732484,0.0,0.0,0.4267515923566879,2019,0.0,0.0,0.0,721,5.4
66,130140010260001,0,0.873015873015873,0.0,0.0,0.3333333333333333,2021,0.0909090909090909,0.0,0.1363636363636362,300,5.2
67,130140010260001,0,0.8923076923076924,0.0,0.0,0.4461538461538462,2019,0.0,0.0,0.0,307,7.7
68,130140030260006,0,0.9101123595505618,0.0,0.0,0.1797752808988764,2021,0.0,0.0,0.0909090909090909,385,1.8
69,130140030260006,0,0.9080459770114944,0.0,0.0,0.2183908045977011,2019,0.0,0.0,0.0,379,5.1
70,130140710160001,0,0.9245283018867924,0.0,0.0691823899371069,0.1761006289308176,2021,0.0,0.0,0.0909090909090909,625,1.4
71,130140710160001,0,0.9852941176470588,0.0,0.0,0.1764705882352941,2019,0.0,0.0,0.0,600,2.4
72,130410010260001,0,0.9090909090909092,0.0,0.0,0.3939393939393939,2021,0.6363636363636364,0.0,0.4090909090909091,102,2.9
73,130410010260001,0,1.0,0.0,0.0,0.0,2019,0.0,0.0,0.0,111,6.1
74,130412010170001,0,0.7375,0.0916666666666666,0.0708333333333333,0.475,2021,0.9090909090909092,0.0,0.5454545454545454,1155,2.7
75,130412010170001,0,0.7110266159695817,0.1634980988593156,0.0380228136882129,0.5513307984790875,2019,0.0,0.0,0.0,1156,4.7
76,130412090270001,0,0.9615384615384616,0.0,0.0,0.3461538461538461,2021,0.7272727272727273,0.0,0.4545454545454546,190,4.2
77,130412090270001,0,0.9444444444444444,0.0,0.0,0.0,2019,0.0,0.0,0.0,175,1.7
78,130413180270001,0,1.0,0.0,0.0,0.3928571428571428,2021,0.0,0.0,0.0909090909090909,125,3.1
79,130413180270001,0,1.0,0.0,0.0,0.4137931034482758,2019,0.0,0.0,0.0,122,5.9
80,130581000260002,0,1.0,0.0,0.0,0.0,2021,0.5454545454545454,0.0,0.3636363636363636,79,5.1
81,130581000260002,0,1.0,0.0,0.0,0.0,2019,0.0,0.0,0.0,64,7.1
82,130582000170001,0,0.7832167832167832,0.0769230769230769,0.0699300699300699,0.5454545454545454,2021,0.9090909090909092,0.0,0.5454545454545454,854,7.3
