,schoolcode,year,charter,mathpass,schoolmode,virtualper,hybridper,totaltested,lowincome,white,black,hispanic,asian
10642,107902041,2017,0.0,0.9629629629629629,0.0,0.0,0,27,0.25925925925925924,0.7777777777777778,0.0,0.14814814814814814,0.037037037037037035
10643,107902041,2018,0.0,1.0,0.0,0.0,0,28,0.17857142857142858,0.8571428571428571,0.03571428571428571,0.07142857142857142,0.0
10644,107902041,2019,0.0,1.0,0.0,0.0,0,29,0.27586206896551724,0.8620689655172413,0.034482758620689655,0.10344827586206896,0.0
10645,107902041,2021,0.0,1.0,0.0,0.0,0,17,0.17647058823529413,0.8235294117647058,0.058823529411764705,0.11764705882352941,0.0
10646,107902041,2022,0.0,1.0,0.0,0.0,0,18,0.16666666666666666,0.8333333333333334,0.0,0.1111111111111111,0.05555555555555555
10647,107904001,2015,0.0,0.35,0.0,0.0,0,60,0.38333333333333336,0.9333333333333333,0.0,0.06666666666666667,0.0
10648,107904001,2016,0.0,0.5102040816326531,0.0,0.0,0,49,0.46938775510204084,0.9591836734693877,0.02040816326530612,0.02040816326530612,0.0
10649,107904001,2017,0.0,0.8181818181818182,0.0,0.0,0,44,0.6363636363636364,0.9545454545454546,0.0,0.045454545454545456,0.0
10650,107904001,2018,0.0,0.6451612903225806,0.0,0.0,0,31,0.5806451612903226,0.9032258064516129,0.0,0.06451612903225806,0.0
10651,107904001,2019,0.0,0.8648648648648649,0.0,0.0,0,37,0.5675675675675675,0.9459459459459459,0.0,0.02702702702702703,0.0
10652,107904001,2021,0.0,0.8085106382978723,0.0,0.0,0,47,0.40425531914893614,0.8085106382978723,0.0,0.1276595744680851,0.02127659574468085
10653,107904001,2022,0.0,0.803921568627451,0.0,0.0,0,51,0.37254901960784315,0.7843137254901961,0.0,0.17647058823529413,0.0
10654,107905001,2015,0.0,0.26373626373626374,0.0,0.0,0,91,0.6263736263736264,0.8351648351648352,0.02197802197802198,0.07692307692307693,0.0
10655,107905001,2016,0.0,0.6265060240963856,0.0,0.0,0,83,0.7108433734939759,0.8554216867469879,0.0,0.12048192771084337,0.0
10656,107905001,2017,0.0,0.4230769230769231,0.0,0.0,0,104,0.75,0.8365384615384616,0.009615384615384616,0.1346153846153846,0.0
10657,107905001,2018,0.0,0.41509433962264153,0.0,0.0,0,106,0.6698113207547169,0.7924528301886793,0.03773584905660377,0.11320754716981132,0.0
10658,107905001,2019,0.0,0.4050632911392405,0.0,0.0,0,79,0.8354430379746836,0.9240506329113924,0.0,0.06329113924050633,0.0
10659,107905001,2021,0.0,0.1326530612244898,0.0,0.0,0,98,0.5,0.7857142857142857,0.01020408163265306,0.16326530612244897,0.0
10660,107905001,2022,0.0,0.2727272727272727,0.0,0.0,0,110,0.5363636363636364,0.7363636363636363,0.0,0.20909090909090908,0.0
10661,107905102,2015,0.0,0.9565217391304348,0.0,0.0,0,23,0.43478260869565216,0.8695652173913043,0.0,0.0,0.0
10662,107905102,2016,0.0,0.9259259259259259,0.0,0.0,0,27,0.48148148148148145,0.8518518518518519,0.0,0.07407407407407407,0.0
10663,107905102,2017,0.0,1.0,0.0,0.0,0,27,0.37037037037037035,0.8148148148148148,0.0,0.14814814814814814,0.0
10664,107905102,2018,0.0,1.0,0.0,0.0,0,21,0.19047619047619047,0.7142857142857143,0.0,0.14285714285714285,0.047619047619047616
10665,107905102,2019,0.0,1.0,0.0,0.0,0,21,0.23809523809523808,0.7142857142857143,0.0,0.19047619047619047,0.0
10666,107905102,2021,0.0,1.0,0.0,0.0,0,16,0.3125,0.875,0.0,0.125,0.0
10667,107905102,2022,0.0,1.0,0.0,0.0,0,15,0.4666666666666667,0.8,0.0,0.13333333333333333,0.0
10668,107906001,2015,0.0,0.16176470588235295,0.0,0.0,0,68,0.6617647058823529,0.7205882352941176,0.14705882352941177,0.08823529411764706,0.0
10669,107906001,2016,0.0,0.48936170212765956,0.0,0.0,0,94,0.5425531914893617,0.6382978723404256,0.10638297872340426,0.18085106382978725,0.0
10670,107906001,2017,0.0,0.5263157894736842,0.0,0.0,0,95,0.5052631578947369,0.6842105263157895,0.15789473684210525,0.14736842105263157,0.010526315789473684
10671,107906001,2018,0.0,0.48514851485148514,0.0,0.0,0,101,0.5148514851485149,0.6336633663366337,0.16831683168316833,0.18811881188118812,0.0
10672,107906001,2019,0.0,0.52,0.0,0.0,0,100,0.63,0.59,0.21,0.19,0.0
10673,107906001,2021,0.0,0.40625,0.0,0.0,0,96,0.6666666666666666,0.5520833333333334,0.14583333333333334,0.21875,0.0
10674,107906001,2022,0.0,0.4017857142857143,0.0,0.0,0,112,0.4642857142857143,0.6339285714285714,0.125,0.17857142857142858,0.0
