,cdc_code,hybridper,virtualper,inpersonper,charter,lowincome,totalenrolled,dropout,white,black,hispanic,year,remote
42,1611190130625,0.0,0.0,1.0,1,0.93,161,0.093167701863354,0.0,0.1118012422360248,0.84472049689441,2015,0.0
43,1611190130625,0.0,0.0,1.0,1,0.93,171,0.0584795321637426,0.0058479532163742,0.0584795321637426,0.9298245614035088,2016,0.0
44,1611190130625,0.0,0.0,1.0,1,1.0,37,18.9,0.0,0.0,0.972972972972973,2017,0.0
45,1611190130625,0.0,0.0,1.0,1,1.0,35,22.9,0.0,0.0,0.7142857142857143,2018,0.0
46,1611190130625,0.0,0.0,1.0,1,0.9846153846153848,65,30.8,0.0,0.0,0.8,2019,0.0
47,1611190130625,0.0,1.0,0.0,1,0.9772727272727272,44,31.8,0.0,0.0,0.9090909090909092,2021,1.0
48,1611270130450,0.0,0.0,1.0,0,0.2,1195,0.005020920502092,0.3656903765690376,0.0460251046025104,0.1707112970711297,2015,0.0
49,1611270130450,0.0,0.0,1.0,0,0.17,1164,0.0051546391752577,0.3668384879725085,0.0429553264604811,0.1709621993127147,2016,0.0
50,1611270130450,0.0,0.0,1.0,0,0.271523178807947,302,4.0,0.4006622516556291,0.0496688741721854,0.162251655629139,2017,0.0
51,1611270130450,0.0,0.0,1.0,0,0.3085106382978723,282,2.8,0.375886524822695,0.0,0.1666666666666666,2018,0.0
52,1611270130450,0.0,0.0,1.0,0,0.3242320819112628,293,1.7,0.3276450511945392,0.0443686006825938,0.1740614334470989,2019,0.0
53,1611270130450,0.0,1.0,0.0,0,0.2464788732394366,284,3.5,0.352112676056338,0.0,0.1373239436619718,2021,1.0
54,1611430131177,0.0,0.0,1.0,0,0.29,3182,0.0191703331238214,0.3881206788183532,0.1983029541169076,0.2162162162162162,2015,0.0
55,1611430131177,0.0,0.0,1.0,0,0.27,3018,0.0301524188204108,0.3996023856858847,0.1699801192842942,0.2203445990722332,2016,0.0
56,1611430131177,0.0,0.0,1.0,0,0.4656212303980699,829,8.6,0.4004825090470446,0.1833534378769601,0.1990349819059107,2017,0.0
57,1611430131177,0.0,0.0,1.0,0,0.3859872611464968,785,9.0,0.4191082802547771,0.1375796178343949,0.2382165605095541,2018,0.0
58,1611430131177,0.0,0.0,1.0,0,0.3855421686746988,747,9.6,0.4216867469879518,0.1526104417670682,0.1954484605087014,2019,0.0
59,1611430131177,0.0,1.0,0.0,0,0.3519163763066202,861,8.1,0.4204413472706155,0.1114982578397212,0.2311265969802555,2021,1.0
60,1611430134924,0.0,0.0,1.0,0,0.75,85,0.388235294117647,0.0352941176470588,0.7058823529411765,0.188235294117647,2015,0.0
61,1611430134924,0.0,0.0,1.0,0,0.74,62,0.5,0.0161290322580645,0.6612903225806451,0.1935483870967742,2016,0.0
62,1611430134924,0.0,0.0,1.0,0,0.9047619047619048,42,45.2,0.0,0.6666666666666666,0.0,2017,0.0
63,1611430134924,0.0,0.0,1.0,0,0.9318181818181818,44,43.2,0.0,0.6818181818181818,0.0,2018,0.0
64,1611430134924,0.0,0.0,1.0,0,0.9444444444444444,36,16.7,0.0,0.6388888888888888,0.0,2019,0.0
65,1611430134924,0.0,1.0,0.0,0,0.8285714285714286,35,14.3,0.0,0.3714285714285714,0.4571428571428571,2021,1.0
66,1611500132225,0.0,0.0,1.0,0,0.17,2977,0.0036949949613705,0.3039973127309371,0.0782667114544843,0.2223715149479341,2015,0.0
67,1611500132225,0.0,0.0,1.0,0,0.2,2920,0.0020547945205479,0.2866438356164383,0.0712328767123287,0.2321917808219178,2016,0.0
68,1611500132225,0.0,0.0,1.0,0,0.2966101694915254,708,1.0,0.3022598870056497,0.077683615819209,0.2231638418079096,2017,0.0
69,1611500132225,0.0,0.0,1.0,0,0.3224893917963224,707,1.0,0.2743988684582744,0.0749646393210749,0.1923620933521923,2018,0.0
70,1611500132225,0.0,0.0,1.0,0,0.3292496171516079,653,2.0,0.2771822358346095,0.0719754977029096,0.2205206738131699,2019,0.0
71,1611500132225,0.0,1.0,0.0,0,0.3080357142857143,672,2.2,0.2619047619047619,0.0595238095238095,0.2202380952380952,2021,1.0
72,1611680132746,0.0,0.0,1.0,0,0.68,191,0.0680628272251308,0.0680628272251308,0.6178010471204188,0.1780104712041884,2015,0.0
73,1611680132746,0.0,0.0,1.0,0,0.72,177,0.0,0.096045197740113,0.5310734463276836,0.1864406779661017,2016,0.0
74,1611680132746,0.0,0.0,1.0,0,0.945945945945946,37,5.4,0.0,0.5135135135135135,0.0,2017,0.0
75,1611680132746,0.0,0.0,1.0,0,0.972972972972973,37,2.7,0.0,0.4054054054054054,0.0,2018,0.0
76,1611680132746,0.0,0.0,1.0,0,0.9,40,0.0,0.0,0.5,0.3,2019,0.0
77,1611680132746,0.0,1.0,0.0,0,0.85,40,5.0,0.0,0.425,0.4,2021,1.0
78,1611760130062,0.0,0.0,1.0,0,0.18,1985,0.0020151133501259,0.1707808564231738,0.051889168765743,0.1123425692695214,2015,0.0
79,1611760130062,0.0,0.0,1.0,0,0.21,2200,0.0027272727272727,0.1422727272727272,0.039090909090909,0.099090909090909,2016,0.0
80,1611760130062,0.0,0.0,1.0,0,0.300990099009901,505,2.0,0.1643564356435643,0.0376237623762376,0.095049504950495,2017,0.0
81,1611760130062,0.0,0.0,1.0,0,0.2608695652173913,483,0.8,0.1428571428571428,0.0289855072463768,0.093167701863354,2018,0.0
82,1611760130062,0.0,0.0,1.0,0,0.2629629629629629,540,3.0,0.1407407407407407,0.037037037037037,0.0796296296296296,2019,0.0
83,1611760130062,0.0,1.0,0.0,0,0.2264808362369338,574,3.3,0.1149825783972125,0.0296167247386759,0.0836236933797909,2021,1.0
84,1611760130435,0.0,0.0,1.0,0,0.17,47,0.0638297872340425,0.574468085106383,0.0212765957446808,0.2765957446808511,2015,0.0
85,1611760130435,0.0,0.0,1.0,0,0.23,31,0.1935483870967742,0.3548387096774194,0.0967741935483871,0.3225806451612903,2016,0.0
86,1611760130435,0.0,0.0,1.0,0,0.0,16,43.8,0.0,0.0,0.0,2017,0.0
87,1611760130435,0.0,0.0,1.0,0,0.0,15,13.3,0.0,0.0,0.0,2018,0.0
88,1611760130435,0.0,0.0,1.0,0,0.52,25,16.0,0.0,0.0,0.0,2019,0.0
89,1611760130435,0.0,1.0,0.0,0,0.6842105263157895,19,26.3,0.0,0.0,0.0,2021,1.0
90,1611760130534,0.0,0.0,1.0,1,0.09,129,0.0155038759689922,0.3953488372093023,0.0310077519379844,0.2868217054263566,2015,0.0
91,1611760130534,0.0,0.0,1.0,1,0.16,187,0.0213903743315508,0.2727272727272727,0.0320855614973262,0.2245989304812834,2016,0.0
92,1611760130534,0.0,0.0,1.0,1,0.3673469387755102,49,16.3,0.2857142857142857,0.0,0.0,2017,0.0
93,1611760130534,0.0,0.0,1.0,1,0.4864864864864865,74,5.4,0.2837837837837837,0.0,0.2972972972972973,2018,0.0
94,1611760130534,0.0,0.0,1.0,1,0.5,70,8.6,0.2714285714285714,0.0,0.2285714285714285,2019,0.0
95,1611760130534,0.0,1.0,0.0,1,0.4556962025316455,79,0.0,0.2025316455696202,0.0,0.2784810126582278,2021,1.0
96,1611760134270,0.0,0.0,1.0,0,0.13,2248,0.0017793594306049,0.1708185053380783,0.0195729537366548,0.1103202846975089,2015,0.0
97,1611760134270,0.0,0.0,1.0,0,0.16,2249,0.002667852378835,0.1405068919519786,0.0168963983992885,0.0995998221431747,2016,0.0
98,1611760134270,0.0,0.0,1.0,0,0.2233400402414486,497,4.0,0.1690140845070422,0.0,0.1026156941649899,2017,0.0
99,1611760134270,0.0,0.0,1.0,0,0.2216666666666666,600,1.8,0.15,0.0,0.085,2018,0.0
100,1611760134270,0.0,0.0,1.0,0,0.179381443298969,485,2.9,0.1216494845360824,0.0,0.068041237113402,2019,0.0
