,schoolcode,district,county,year,charter,mathpass,schoolmode,virtualper,hybridper,totalenroll,lowincome,white,black,hispanic,asian
55,51101040004,4,04,2018,0.0,63,0.0,0.0,0.0,75,57.3333,97.3333,0.0,1.3333,0.0
56,51301040003,4,03,2018,0.0,90,0.0,0.0,0.0,73,50.6849,93.1507,1.3699,2.7397,0.0
57,51901040005,4,05,2018,0.0,87,0.0,0.0,0.0,63,38.0952,93.6508,4.7619,1.5873,0.0
58,60201060003,6,03,2018,0.0,85,0.0,0.0,0.0,123,36.5854,88.6179,0.0,5.6911,1.626
59,60301040004,4,04,2018,0.0,91,0.0,0.0,0.0,74,48.6486,91.8919,0.0,2.7027,1.3514
60,60401040006,4,06,2018,0.0,89,0.0,0.0,0.0,72,50.0,93.0556,1.3889,2.7778,0.0
61,60503040001,4,01,2018,0.0,95,0.0,0.0,0.0,96,43.75,96.875,0.0,0.0,0.0
62,60601040003,4,03,2018,0.0,72,0.0,0.0,0.0,47,63.8298,95.7447,0.0,2.1277,0.0
63,60701040003,4,03,2018,0.0,84,0.0,0.0,0.0,32,59.375,90.625,3.125,0.0,0.0
64,60800010009,1,09,2018,0.0,46,0.0,0.0,0.0,210,72.8571,29.5238,6.6667,62.381,0.0
65,61001040005,4,05,2018,0.0,92,0.0,0.0,0.0,63,28.5714,92.0635,3.1746,0.0,4.7619
66,61101040007,4,07,2018,0.0,82,0.0,0.0,0.0,108,49.0741,95.3704,0.9259,2.7778,0.9259
67,61501040001,4,01,2018,0.0,78,0.0,0.0,0.0,58,62.069,70.6897,3.4483,12.069,0.0
68,61503040003,4,03,2018,0.0,94,0.0,0.0,0.0,33,45.4545,84.8485,0.0,6.0606,3.0303
69,61601040001,4,01,2018,0.0,93,0.0,0.0,0.0,30,46.6667,100.0,0.0,0.0,0.0
70,61700010013,1,13,2018,0.0,71,0.0,0.0,0.0,300,78.0,57.6667,5.3333,25.3333,0.0
71,62201060003,6,03,2018,0.0,93,0.0,0.0,0.0,110,38.1818,81.8182,0.9091,10.0,1.8182
72,62301040003,4,03,2018,0.0,82,0.0,0.0,0.0,39,56.4103,84.6154,0.0,12.8205,0.0
73,62601040003,4,03,2018,0.0,88,0.0,0.0,0.0,33,60.6061,96.9697,0.0,3.0303,0.0
74,62901040002,4,02,2018,0.0,93,0.0,0.0,0.0,58,50.0,96.5517,0.0,3.4483,0.0
75,70600010020,1,20,2018,0.0,51,0.0,0.0,0.0,194,71.6495,64.433,22.6804,6.1856,0.5155
76,70600010021,1,21,2018,0.0,82,0.0,0.0,0.0,290,47.5862,78.9655,12.069,2.069,0.6897
77,70901060007,6,07,2018,0.0,80,0.0,0.0,0.0,332,35.8434,92.7711,1.506,1.2048,1.2048
78,70902060002,6,02,2018,0.0,93,0.0,0.0,0.0,60,56.6667,93.3333,1.6667,0.0,0.0
79,80101040003,4,03,2018,0.0,66,0.0,0.0,0.0,59,62.7119,91.5254,3.3898,5.0847,0.0
80,80201040001,4,01,2018,0.0,94,0.0,0.0,0.0,65,60.0,93.8462,0.0,1.5385,1.5385
81,80601040003,4,03,2018,0.0,87,0.0,0.0,0.0,61,45.9016,91.8033,1.6393,4.918,0.0
82,81003040003,4,03,2018,0.0,93,0.0,0.0,0.0,59,59.322,91.5254,1.6949,3.3898,1.6949
83,81200050004,5,04,2018,0.0,58,0.0,0.0,0.0,132,67.4242,91.6667,3.7879,2.2727,0.0
84,81401040001,4,01,2018,0.0,85,0.0,0.0,0.0,40,67.5,100.0,0.0,0.0,0.0
85,81501040002,4,02,2018,0.0,69,0.0,0.0,0.0,65,64.6154,83.0769,3.0769,7.6923,0.0
86,82001040004,4,04,2018,0.0,87,0.0,0.0,0.0,69,65.2174,94.2029,2.8986,0.0,1.4493
87,90201040002,4,02,2018,0.0,83,0.0,0.0,0.0,103,54.3689,98.0583,0.9709,0.0,0.9709
88,90301060006,6,06,2018,0.0,89,0.0,0.0,0.0,125,54.4,92.0,1.6,4.0,2.4
89,90501040002,4,02,2018,0.0,90,0.0,0.0,0.0,87,45.977,91.954,1.1494,1.1494,3.4483
90,90601020002,2,02,2018,0.0,91,0.0,0.0,0.0,35,22.8571,94.2857,0.0,2.8571,2.8571
