,RCDTS,Charter,totaltested,elapass,white,black,hispanic,lowincome,year,closedper,hybridper,inpersonper,virtualper,remote
37,10690010260001,0,21.0,0.28600000000000003,0.9523809523809524,0.0,0.0,0.0,2019,0.0,0.0,1.0,0.0,0.0
38,10690010260001,0,13.0,0.385,0.9230769230769232,0.0,0.0,0.0,2018,0.0,0.0,1.0,0.0,0.0
39,10690010260001,0,92.0,0.158,0.9565217391304348,0.0,0.0,0.4347826086956521,2017,0.0,0.0,1.0,0.0,0.0
40,10690060260001,0,32.0,0.251,0.9375,0.0,0.0,0.375,2021,0.0909090909090909,0.5454545454545454,0.3636363636363636,0.0,0.3636363636363636
41,10690060260001,0,35.0,0.257,0.9428571428571428,0.0,0.0,0.3428571428571428,2019,0.0,0.0,1.0,0.0,0.0
42,10690060260001,0,26.0,0.423,0.9615384615384616,0.0,0.0,0.0,2018,0.0,0.0,1.0,0.0,0.0
43,10690060260001,0,75.0,0.35,1.0,0.0,0.0,0.28,2017,0.0,0.0,1.0,0.0,0.0
44,10690270260001,0,23.0,0.348,0.9130434782608696,0.0,0.0,0.0,2021,0.0909090909090909,0.0,0.9090909090909092,0.0,0.0909090909090909
45,10690270260001,0,23.0,0.261,0.8695652173913043,0.0,0.0,0.0,2019,0.0,0.0,1.0,0.0,0.0
46,10690270260001,0,30.0,0.5,0.9666666666666668,0.0,0.0,0.0,2018,0.0,0.0,1.0,0.0,0.0
47,10690270260001,0,78.0,0.273,0.9487179487179488,0.0128205128205128,0.0,0.3846153846153846,2017,0.0,0.0,1.0,0.0,0.0
48,10691170220014,0,191.0,0.258,0.8115183246073299,0.06282722513089,0.0,0.4869109947643979,2021,0.0909090909090909,0.0,0.9090909090909092,0.0,0.0909090909090909
49,10691170220014,0,258.0,0.24200000000000002,0.7441860465116279,0.0852713178294573,0.0620155038759689,0.4922480620155038,2019,0.0,0.0,1.0,0.0,0.0
50,10691170220014,0,205.0,0.292,0.8439024390243902,0.0634146341463414,0.0,0.3658536585365853,2018,0.0,0.0,1.0,0.0,0.0
