,RCDTS,totalenrolled,white,black,hispanic,lowincome,dropout,year,charter,closedper,hybridper,inpersonper,virtualper,remote
41,10690060260001,165,0.958,0.012,0.006,0.382,0.017,2019,0,0.0,0.0,1.0,0.0,0.0
42,10690060260001,172,0.965,0.0,0.0,0.285,0.027999999999999997,2018,0,0.0,0.0,1.0,0.0,0.0
43,10690060260001,171,0.971,0.006,0.0,0.31,0.035,2017,0,0.0,0.0,1.0,0.0,0.0
44,10690110260001,47,0.9570000000000001,0.0,0.0,0.638,0.096,2021,0,0.0909090909090909,0.8181818181818182,0.0909090909090909,0.0,0.4999999999999999
45,10690110260001,47,0.9790000000000001,0.0,0.0,0.511,0.055999999999999994,2019,0,0.0,0.0,1.0,0.0,0.0
46,10690110260001,53,1.0,0.0,0.0,0.5660000000000001,0.0,2018,0,0.0,0.0,1.0,0.0,0.0
47,10690110260001,51,1.0,0.0,0.0,0.51,0.0,2017,0,0.0,0.0,1.0,0.0,0.0
48,10690270260001,190,0.932,0.0,0.0,0.321,0.018000000000000002,2021,0,0.0909090909090909,0.0,0.9090909090909092,0.0,0.0909090909090909
49,10690270260001,180,0.9329999999999999,0.0,0.027999999999999997,0.37200000000000005,0.008,2019,0,0.0,0.0,1.0,0.0,0.0
50,10690270260001,164,0.945,0.0,0.0,0.366,0.0,2018,0,0.0,0.0,1.0,0.0,0.0
51,10690270260001,146,0.938,0.0,0.013999999999999999,0.322,0.0,2017,0,0.0,0.0,1.0,0.0,0.0
52,10691170220014,916,0.7759999999999999,0.08800000000000001,0.034,0.474,0.08199999999999999,2021,0,0.0909090909090909,0.0,0.9090909090909092,0.0,0.0909090909090909
53,10691170220014,970,0.785,0.07200000000000001,0.034,0.478,0.11699999999999999,2019,0,0.0,0.0,1.0,0.0,0.0
54,10691170220014,986,0.795,0.075,0.033,0.474,0.067,2018,0,0.0,0.0,1.0,0.0,0.0
55,10691170220014,1007,0.82,0.061,0.028999999999999998,0.48100000000000004,0.035,2017,0,0.0,0.0,1.0,0.0,0.0
56,10750030260002,93,0.9890000000000001,0.0,0.0,0.591,0.055,2021,0,0.0,0.2727272727272727,0.7272727272727273,0.0,0.1363636363636362
57,10750030260002,74,1.0,0.0,0.0,0.608,0.099,2019,0,0.0,0.0,1.0,0.0,0.0
58,10750030260002,77,0.987,0.0,0.0,0.494,0.052000000000000005,2018,0,0.0,0.0,1.0,0.0,0.0
59,10750030260002,79,0.987,0.013000000000000001,0.0,0.494,0.038,2017,0,0.0,0.0,1.0,0.0,0.0
60,10750040260002,95,1.0,0.0,0.0,0.0,0.075,2021,0,0.0909090909090909,0.2727272727272727,0.6363636363636364,0.0,0.2272727272727273
61,10750040260002,84,0.9520000000000001,0.048,0.0,1.0,0.083,2019,0,0.0,0.0,1.0,0.0,0.0
62,10750040260002,101,0.9309999999999999,0.0,0.0,0.653,0.08,2018,0,0.0,0.0,1.0,0.0,0.0
63,10750040260002,115,0.9740000000000001,0.0,0.0,0.6,0.035,2017,0,0.0,0.0,1.0,0.0,0.0
64,10750100260009,323,0.978,0.0,0.0,0.381,0.057999999999999996,2021,0,0.0909090909090909,0.8181818181818182,0.0909090909090909,0.0,0.4999999999999999
65,10750100260009,323,0.9690000000000001,0.006,0.012,0.365,0.046,2019,0,0.0,0.0,1.0,0.0,0.0
66,10750100260009,336,0.973,0.0,0.0,0.402,0.018000000000000002,2018,0,0.0,0.0,1.0,0.0,0.0
67,10750100260009,316,0.9840000000000001,0.006,0.003,0.42700000000000005,0.022000000000000002,2017,0,0.0,0.0,1.0,0.0,0.0
68,10750120260001,124,0.968,0.0,0.0,0.508,0.065,2021,0,0.0909090909090909,0.6363636363636364,0.2727272727272727,0.0,0.4090909090909091
69,10750120260001,140,0.9570000000000001,0.0,0.013999999999999999,0.621,0.052000000000000005,2019,0,0.0,0.0,1.0,0.0,0.0
70,10750120260001,146,0.945,0.0,0.0,0.555,0.006999999999999999,2018,0,0.0,0.0,1.0,0.0,0.0
71,10750120260001,142,0.958,0.0,0.013999999999999999,0.521,0.013999999999999999,2017,0,0.0,0.0,1.0,0.0,0.0
72,10860010260001,165,0.976,0.0,0.0,0.461,0.027999999999999997,2021,0,0.0909090909090909,0.5454545454545454,0.3636363636363636,0.0,0.3636363636363636
73,10860010260001,182,0.973,0.0,0.016,0.374,0.022000000000000002,2019,0,0.0,0.0,1.0,0.0,0.0
74,10860010260001,178,0.983,0.0,0.0,0.40399999999999997,0.0,2018,0,0.0,0.0,1.0,0.0,0.0
75,10860010260001,185,0.9840000000000001,0.0,0.0,0.373,0.016,2017,0,0.0,0.0,1.0,0.0,0.0
76,10860020260001,73,0.9179999999999999,0.0,0.0,0.5479999999999999,0.0,2021,0,0.0909090909090909,0.3636363636363636,0.5454545454545454,0.0,0.2727272727272728
77,10860020260001,64,0.9690000000000001,0.0,0.016,0.516,0.015,2019,0,0.0,0.0,1.0,0.0,0.0
78,10860020260001,64,1.0,0.0,0.0,0.531,0.0,2018,0,0.0,0.0,1.0,0.0,0.0
79,10860020260001,58,1.0,0.0,0.0,0.483,0.0,2017,0,0.0,0.0,1.0,0.0,0.0
80,11012002C260001,360,0.9470000000000001,0.0,0.0,0.272,0.031,2021,0,0.0909090909090909,0.0,0.9090909090909092,0.0,0.0909090909090909
81,11012002C260001,379,0.9470000000000001,0.008,0.018000000000000002,0.29600000000000004,0.042,2019,0,0.0,0.0,1.0,0.0,0.0
82,11012002C260001,391,0.9570000000000001,0.0,0.0,0.266,0.005,2018,0,0.0,0.0,1.0,0.0,0.0
83,11012002C260001,418,0.9570000000000001,0.006999999999999999,0.005,0.297,0.036000000000000004,2017,0,0.0,0.0,1.0,0.0,0.0
84,11012003C260001,151,0.96,0.0,0.0,0.583,0.04,2021,0,0.0909090909090909,0.0,0.9090909090909092,0.0,0.0909090909090909
85,11012003C260001,165,0.9640000000000001,0.0,0.024,0.564,0.019,2019,0,0.0,0.0,1.0,0.0,0.0
86,11012003C260001,172,0.977,0.0,0.0,0.605,0.009000000000000001,2018,0,0.0,0.0,1.0,0.0,0.0
87,11012003C260001,177,0.966,0.011000000000000001,0.017,0.588,0.009000000000000001,2017,0,0.0,0.0,1.0,0.0,0.0
88,11012004C260001,356,0.9520000000000001,0.0,0.027999999999999997,0.433,0.037000000000000005,2021,0,0.0909090909090909,0.3636363636363636,0.5454545454545454,0.0,0.2727272727272728
