,schoolcode,year,charter,mathpass,schoolmode,virtualper,hybridper,totalenroll,lowincome,white,black,hispanic,asian
529,320900010327,2019,0.0,75,0.0,0.0,0.0,126,88.0952,2.381,20.6349,76.9841,0.0
530,320900010568,2019,0.0,81,0.0,0.0,0.0,93,84.9462,0.0,33.3333,54.8387,6.4516
531,320900011227,2019,0.0,42,0.0,0.0,0.0,219,88.5845,0.4566,23.7443,71.6895,3.1963
532,320900011231,2019,0.0,32,0.0,0.0,0.0,177,80.791,1.6949,59.887,37.2881,0.0
533,320900011241,2019,0.0,72,0.0,0.0,0.0,138,92.029,1.4493,31.8841,66.6667,0.0
534,320900011250,2019,0.0,66,0.0,0.0,0.0,128,76.5625,0.0,37.5,59.375,0.0
535,320900011252,2019,0.0,46,0.0,0.0,0.0,170,91.7647,1.1765,28.8235,69.4118,0.0
536,320900011260,2019,0.0,79,0.0,0.0,0.0,94,92.5532,2.1277,22.3404,64.8936,3.1915
537,320900011263,2019,0.0,41,0.0,0.0,0.0,209,91.3876,0.4785,33.0144,64.5933,0.4785
538,320900011297,2019,0.0,52,0.0,0.0,0.0,195,97.4359,2.0513,30.2564,66.6667,0.5128
539,320900011324,2019,0.0,71,0.0,0.0,0.0,184,91.3043,0.0,23.913,73.3696,2.1739
540,320900011329,2019,0.0,40,0.0,0.0,0.0,175,90.2857,1.7143,24.5714,73.1429,0.5714
541,320900011350,2019,0.0,23,0.0,0.0,0.0,65,96.9231,1.5385,27.6923,66.1538,1.5385
542,320900011365,2019,0.0,67,0.0,0.0,0.0,257,100.0,0.0,0.0,100.0,0.0
543,320900011404,2019,0.0,39,0.0,0.0,0.0,142,86.6197,0.7042,27.4648,69.7183,1.4085
544,320900011412,2019,0.0,42,0.0,0.0,0.0,165,93.9394,0.6061,21.2121,74.5455,2.4242
545,320900011413,2019,0.0,71,0.0,0.0,0.0,78,80.7692,3.8462,21.7949,67.9487,5.1282
546,320900011505,2019,0.0,52,0.0,0.0,0.0,258,89.1473,1.1628,25.969,71.3178,0.7752
547,320900011517,2019,0.0,43,0.0,0.0,0.0,195,89.2308,1.5385,41.5385,53.8462,1.0256
548,320900011525,2019,0.0,40,0.0,0.0,0.0,354,89.548,0.8475,33.0508,64.1243,0.565
549,320900011543,2019,0.0,24,0.0,0.0,0.0,148,93.2432,0.6757,31.7568,65.5405,0.6757
550,320900011564,2019,0.0,58,0.0,0.0,0.0,201,99.5025,4.9751,21.393,64.1791,9.4527
552,321000010225,2019,0.0,44,0.0,0.0,0.0,185,82.1622,0.5405,23.2432,72.973,2.7027
553,321000010368,2019,0.0,44,0.0,0.0,0.0,392,84.949,2.2959,8.9286,82.9082,3.8265
554,321000011141,2019,0.0,67,0.0,0.0,0.0,246,54.065,18.2927,11.3821,60.1626,8.9431
555,321000011213,2019,0.0,33,0.0,0.0,0.0,199,93.4673,2.5126,29.1457,60.804,6.0302
556,321000011237,2019,0.0,45,0.0,0.0,0.0,155,81.2903,2.5806,34.8387,60.0,1.2903
557,321000011243,2019,0.0,46,0.0,0.0,0.0,173,94.7977,0.578,19.6532,78.6127,1.1561
558,321000011264,2019,0.0,39,0.0,0.0,0.0,182,77.4725,3.2967,26.9231,66.4835,2.7473
559,321000011268,2019,0.0,44,0.0,0.0,0.0,258,96.8992,1.1628,1.1628,93.4109,3.876
560,321000011284,2019,0.0,42,0.0,0.0,0.0,155,89.6774,2.5806,18.7097,78.7097,0.0
561,321000011319,2019,0.0,77,0.0,0.0,0.0,22,90.9091,0.0,13.6364,63.6364,0.0
562,321000011342,2019,0.0,72,0.0,0.0,0.0,162,98.1481,0.0,0.0,100.0,0.0
563,321000011351,2019,0.0,67,0.0,0.0,0.0,21,71.4286,4.7619,28.5714,57.1429,9.5238
564,321000011353,2019,0.0,67,0.0,0.0,0.0,246,82.9268,0.4065,19.5122,75.2033,1.2195
565,321000011374,2019,0.0,69,0.0,0.0,0.0,141,85.8156,1.4184,31.2057,65.2482,0.7092
566,321000011397,2019,0.0,57,0.0,0.0,0.0,139,87.7698,2.8777,27.3381,60.4317,5.7554
567,321000011433,2019,0.0,48,0.0,0.0,0.0,225,89.7778,5.3333,12.4444,79.1111,2.2222
568,321000011434,2019,0.0,56,0.0,0.0,0.0,178,87.6404,1.1236,23.5955,68.5393,5.618
569,321000011437,2019,0.0,84,0.0,0.0,0.0,170,88.2353,2.9412,40.5882,54.7059,0.5882
570,321000011438,2019,0.0,44,0.0,0.0,0.0,210,85.2381,0.9524,24.7619,70.4762,2.8571
571,321000011439,2019,0.0,73,0.0,0.0,0.0,186,90.8602,1.6129,27.957,68.2796,1.6129
572,321000011440,2019,0.0,41,0.0,0.0,0.0,379,82.3219,4.7493,27.7045,58.3113,7.124
573,321000011442,2019,0.0,72,0.0,0.0,0.0,133,90.2256,1.5038,27.8195,66.9173,0.7519
574,321000011445,2019,0.0,100,0.0,0.0,0.0,71,40.8451,25.3521,2.8169,11.2676,53.5211
575,321000011477,2019,0.0,75,0.0,0.0,0.0,179,87.7095,6.7039,8.3799,70.9497,12.2905
576,321000011524,2019,0.0,44,0.0,0.0,0.0,194,85.0515,3.6082,7.2165,87.1134,1.5464
577,321000011546,2019,0.0,60,0.0,0.0,0.0,138,78.9855,2.8986,34.058,59.4203,1.4493
578,321000011549,2019,0.0,87,0.0,0.0,0.0,127,86.6142,2.3622,14.9606,73.2283,8.6614
579,321000011565,2019,0.0,47,0.0,0.0,0.0,179,80.4469,1.1173,24.0223,70.3911,3.352
580,321000011696,2019,0.0,100,0.0,0.0,0.0,63,31.746,53.9683,6.3492,12.6984,20.6349
581,321000860704,2019,0.0,42,0.0,0.0,0.0,214,85.514,0.4673,35.514,60.7477,0.4673
583,321000860999,2019,0.0,40,0.0,0.0,0.0,189,79.3651,1.0582,40.2116,52.381,3.1746
584,321000861064,2019,0.0,30,0.0,0.0,0.0,170,86.4706,0.0,14.1176,83.5294,0.0
