,schoolcode,district,year,charter,dropout,schoolmode,virtualper,hybridper,totalenroll,lowincome,white,black,hispanic,asian
33,15915006,15915,2018,0.0,0,0.0,0.0,0.0,854,24.9415,22.8337,5.2693,50.5855,14.5199
34,15915008,15915,2018,0.0,0,0.0,0.0,0.0,765,70.1961,13.3333,11.8954,71.7647,0.6536
35,15915039,15915,2018,0.0,0,0.0,0.0,0.0,30,36.6667,20.0,6.6667,66.6667,0.0
36,15916005,15916,2018,0.0,0,0.0,0.0,0.0,212,76.4151,11.7925,47.1698,37.2642,0.4717
37,15917002,15917,2018,0.0,0,0.0,0.0,0.0,48,85.4167,4.1667,0.0,95.8333,0.0
38,17901001,17901,2018,0.0,0,0.0,0.0,0.0,88,26.1364,79.5455,1.1364,14.7727,0.0
39,18901001,18901,2018,0.0,0,0.0,0.0,0.0,314,41.0828,60.1911,2.5478,29.9363,1.9108
40,18903001,18903,2018,0.0,0,0.0,0.0,0.0,49,75.5102,38.7755,2.0408,57.1429,0.0
41,18904001,18904,2018,0.0,0,0.0,0.0,0.0,217,50.2304,67.2811,3.2258,28.5714,0.0
42,18905003,18905,2018,0.0,0,0.0,0.0,0.0,56,75.0,46.4286,0.0,53.5714,0.0
43,18906001,18906,2018,0.0,0,0.0,0.0,0.0,41,41.4634,68.2927,2.439,29.2683,0.0
44,18908001,18908,2018,0.0,0,0.0,0.0,0.0,39,74.359,64.1026,2.5641,33.3333,0.0
45,19902002,19902,2018,0.0,0,0.0,0.0,0.0,375,51.7333,68.8,14.6667,9.3333,0.2667
46,19909001,19909,2018,0.0,0,0.0,0.0,0.0,180,53.8889,90.0,0.0,5.5556,1.1111
47,20901005,20901,2018,0.0,0,0.0,0.0,0.0,178,66.8539,53.9326,3.3708,41.0112,0.0
48,20902002,20902,2018,0.0,0,0.0,0.0,0.0,76,72.3684,31.5789,10.5263,56.5789,0.0
49,20902003,20902,2018,0.0,0,0.0,0.0,0.0,13,61.5385,38.4615,0.0,53.8462,0.0
50,22902001,22902,2018,0.0,0,0.0,0.0,0.0,16,81.25,31.25,0.0,68.75,0.0
51,23902001,23902,2018,0.0,0,0.0,0.0,0.0,66,62.1212,45.4545,4.5455,45.4545,0.0
52,25901001,25901,2018,0.0,0,0.0,0.0,0.0,350,48.2857,69.7143,2.5714,24.2857,0.0
53,25904001,25904,2018,0.0,0,0.0,0.0,0.0,57,45.614,66.6667,0.0,31.5789,0.0
54,25905001,25905,2018,0.0,0,0.0,0.0,0.0,109,66.9725,77.9817,0.9174,19.2661,0.0
55,25906001,25906,2018,0.0,0,0.0,0.0,0.0,88,65.9091,88.6364,1.1364,4.5455,0.0
56,25908001,25908,2018,0.0,0,0.0,0.0,0.0,41,51.2195,75.6098,2.439,21.9512,0.0
57,26901001,26901,2018,0.0,0,0.0,0.0,0.0,561,46.1676,54.0107,8.7344,35.1159,0.5348
58,30902001,30902,2018,0.0,0,0.0,0.0,0.0,431,42.6914,82.1346,1.8561,13.9211,0.464
59,30906001,30906,2018,0.0,0,0.0,0.0,0.0,116,45.6897,81.8966,0.0,13.7931,0.0
60,31901008,31901,2018,0.0,0,0.0,0.0,0.0,422,96.4455,2.6066,0.4739,95.4976,1.4218
61,31903005,31903,2018,0.0,0,0.0,0.0,0.0,338,62.1302,6.8047,0.8876,91.716,0.2959
62,31903008,31903,2018,0.0,0,0.0,0.0,0.0,335,59.7015,6.2687,0.2985,90.4478,2.0896
63,31903118,31903,2018,0.0,0,0.0,0.0,0.0,259,92.278,3.0888,0.0,96.5251,0.0
64,31912005,31912,2018,0.0,0,0.0,0.0,0.0,1,100.0,0.0,0.0,100.0,0.0
65,31916001,31916,2018,0.0,0,0.0,0.0,0.0,656,54.4207,3.2012,1.2195,92.5305,2.5915
66,31916004,31916,2018,0.0,0,0.0,0.0,0.0,897,58.7514,4.4593,1.4493,78.8183,14.2698
67,31916005,31916,2018,0.0,0,0.0,0.0,0.0,817,41.1261,8.6903,0.7344,76.2546,13.5863
68,32902002,32902,2018,0.0,0,0.0,0.0,0.0,699,72.6753,39.7711,17.4535,37.9113,2.0029
69,33901001,33901,2018,0.0,0,0.0,0.0,0.0,50,24.0,88.0,2.0,10.0,0.0
70,33902001,33902,2018,0.0,0,0.0,0.0,0.0,221,20.362,86.4253,1.81,8.5973,0.0
71,33904001,33904,2018,0.0,0,0.0,0.0,0.0,96,35.4167,85.4167,0.0,11.4583,0.0
72,34902001,34902,2018,0.0,0,0.0,0.0,0.0,33,75.7576,72.7273,15.1515,6.0606,0.0
73,34903001,34903,2018,0.0,0,0.0,0.0,0.0,373,55.496,75.6032,10.7239,9.9196,0.5362
74,34909001,34909,2018,0.0,0,0.0,0.0,0.0,73,54.7945,91.7808,2.7397,1.3699,0.0
75,35903001,35903,2018,0.0,0,0.0,0.0,0.0,81,12.3457,85.1852,2.4691,8.642,0.0
76,36902005,36902,2018,0.0,0,0.0,0.0,0.0,40,45.0,62.5,5.0,27.5,0.0
77,36902006,36902,2018,0.0,0,0.0,0.0,0.0,10,70.0,70.0,20.0,10.0,0.0
78,37904004,37904,2018,0.0,0,0.0,0.0,0.0,17,70.5882,29.4118,47.0588,23.5294,0.0
79,37909001,37909,2018,0.0,0,0.0,0.0,0.0,81,54.321,76.5432,4.9383,14.8148,0.0
80,39904001,39904,2018,0.0,0,0.0,0.0,0.0,43,48.8372,90.6977,2.3256,4.6512,0.0
81,39905001,39905,2018,0.0,0,0.0,0.0,0.0,50,66.0,88.0,0.0,10.0,0.0
82,40901001,40901,2018,0.0,0,0.0,0.0,0.0,101,95.0495,10.8911,1.9802,86.1386,0.0
83,41901001,41901,2018,0.0,0,0.0,0.0,0.0,88,44.3182,62.5,0.0,36.3636,0.0
84,42903001,42903,2018,0.0,0,0.0,0.0,0.0,73,68.4932,65.7534,1.3699,31.5068,0.0
85,43801001,43801,2018,0.0,0,0.0,0.0,0.0,238,10.9244,40.3361,8.4034,13.0252,32.7731
86,43903001,43903,2018,0.0,0,0.0,0.0,0.0,826,21.6707,67.6755,3.9952,23.1235,0.7264
87,43905008,43905,2018,0.0,0,0.0,0.0,0.0,2226,15.9479,46.7655,17.9695,18.6433,12.5337
88,43908001,43908,2018,0.0,0,0.0,0.0,0.0,867,12.8028,68.1661,8.3045,17.6471,1.0381
89,43910008,43910,2018,0.0,0,0.0,0.0,0.0,448,9.375,60.0446,3.3482,15.8482,14.2857
90,43919001,43919,2018,0.0,0,0.0,0.0,0.0,1510,3.1788,78.6755,2.2517,7.6821,7.1523
91,45905002,45905,2018,0.0,0,0.0,0.0,0.0,209,31.5789,49.7608,8.6124,37.3206,0.0
92,46901041,46901,2018,0.0,0,0.0,0.0,0.0,5,60.0,60.0,20.0,0.0,20.0
93,46902206,46902,2018,0.0,0,0.0,0.0,0.0,217,47.4654,47.4654,3.6866,46.0829,0.4608
94,47901001,47901,2018,0.0,0,0.0,0.0,0.0,357,61.0644,49.8599,1.4006,46.7787,0.5602
95,47903001,47903,2018,0.0,0,0.0,0.0,0.0,38,81.5789,31.5789,0.0,65.7895,0.0
96,47905001,47905,2018,0.0,0,0.0,0.0,0.0,41,70.7317,82.9268,0.0,17.0732,0.0
97,48901001,48901,2018,0.0,0,0.0,0.0,0.0,64,64.0625,34.375,0.0,62.5,1.5625
98,48903001,48903,2018,0.0,0,0.0,0.0,0.0,97,76.2887,49.4845,0.0,47.4227,0.0
99,49902001,49902,2018,0.0,0,0.0,0.0,0.0,160,13.75,91.875,0.0,4.375,1.25
100,49907001,49907,2018,0.0,0,0.0,0.0,0.0,173,12.1387,91.9075,0.578,2.3121,1.1561
101,50901001,50901,2018,0.0,0,0.0,0.0,0.0,89,57.3034,75.2809,0.0,24.7191,0.0
102,50904001,50904,2018,0.0,0,0.0,0.0,0.0,54,62.963,75.9259,0.0,22.2222,0.0
103,50909001,50909,2018,0.0,0,0.0,0.0,0.0,94,44.6809,85.1064,0.0,13.8298,0.0
104,51901001,51901,2018,0.0,0,0.0,0.0,0.0,75,69.3333,46.6667,10.6667,40.0,0.0
105,54902001,54902,2018,0.0,0,0.0,0.0,0.0,82,80.4878,18.2927,1.2195,80.4878,0.0
106,54903001,54903,2018,0.0,0,0.0,0.0,0.0,136,77.2059,18.3824,1.4706,79.4118,0.7353
107,56902001,56902,2018,0.0,0,0.0,0.0,0.0,53,54.717,56.6038,1.8868,39.6226,0.0
