,RCDTS,City,County,District Size,# Student Enrollment,% Student Enrollment - White,% Student Enrollment - Low Income,Total Number of School Days,Student Mobility Rate,High School Dropout Rate - Total,High School Dropout Rate - Male,High School Dropout Rate - Female,High School Dropout Rate - Low Income,High School 4-Year Graduation Rate - Total,High School 4-Year Graduation Rate - Male,High School 4-Year Graduation Rate - Female,High School 4-Year Graduation Rate - White,High School 4-Year Graduation Rate - Low Income,Avg Class Size - High School,Teacher Retention Rate,Chronic Absenteeism,Chronic Absenteeism - Low Income,% Graduates enrolled in a Postsecondary Institution within 12 months,% Graduates enrolled in a Postsecondary Institution within 12 months - Private Institution,% Graduates enrolled in a Postsecondary Institution within 12 months - Four-year Institution,Year
28,030250200260001,Beecher City,Effingham,SMALL,161,94.4,98.8,176.0,10.1,4.0,6.8,1.8,5.2,81.0,70.0,90.9,81.0,81.0,11.7,82.5,3.5,4.6,62.5,0.0,25.0,2021
29,030250300260001,Dieterich,Effingham,MEDIUM,211,96.7,18.5,176.0,4.2,2.2,0.0,4.5,4.0,92.9,92.3,93.3,92.6,,11.4,86.4,10.1,29.3,74.2,6.5,12.9,2021
30,030250400260001,Effingham,Effingham,LARGE,742,88.5,32.6,176.0,16.6,5.0,6.2,3.9,10.4,85.7,81.5,90.6,86.4,68.7,20.0,86.4,9.7,15.0,34.8,4.4,13.6,2021
31,030250500260001,Teutopolis,Effingham,MEDIUM,326,98.5,8.6,176.0,2.0,0.6,0.6,0.6,,97.5,100.0,95.8,97.5,,19.9,83.9,1.8,9.1,77.0,5.8,28.7,2021
32,030262010260003,Brownstown,Fayette,SMALL,75,97.3,48.0,176.0,10.4,4.8,2.6,6.7,7.0,88.2,,100.0,87.5,81.8,10.4,54.5,26.1,39.6,26.3,0.0,0.0,2021
33,030262020260002,Saint Elmo,Fayette,SMALL,121,92.6,42.1,176.0,16.2,4.1,3.2,5.0,11.4,78.6,70.6,90.9,76.0,53.8,14.5,83.3,12.6,14.9,36.0,0.0,0.0,2021
34,030262030260001,Vandalia,Fayette,MEDIUM,397,95.5,54.2,176.0,16.1,3.5,4.3,2.6,6.2,90.4,87.7,93.9,89.8,85.2,15.8,92.1,15.5,21.6,51.1,8.5,17.0,2021
35,030262040260002,Ramsey,Fayette,SMALL,230,98.3,55.7,176.0,8.9,0.7,1.4,0.0,0.0,100.0,100.0,100.0,100.0,100.0,16.3,87.0,21.7,30.3,46.2,3.9,11.5,2021
36,030680020260001,Raymond,Montgomery,MEDIUM,140,94.3,42.9,176.0,12.0,1.4,1.7,1.2,1.6,92.7,84.2,100.0,94.9,93.3,13.4,85.0,8.6,15.7,69.0,3.5,27.6,2021
37,030680030260001,Hillsboro,Montgomery,MEDIUM,452,93.6,39.2,176.0,10.4,3.1,2.8,3.4,5.1,91.6,89.4,93.8,91.0,83.3,17.1,92.5,34.0,51.8,55.7,14.4,24.7,2021
38,030680120260001,Litchfield,Montgomery,MEDIUM,415,90.8,51.6,177.0,10.1,4.5,5.9,3.0,5.9,87.9,75.6,98.1,87.1,77.8,15.8,88.8,15.4,22.6,52.0,14.3,32.5,2021
39,030680220260001,Nokomis,Montgomery,MEDIUM,298,95.3,37.9,176.0,10.6,1.7,1.0,2.6,3.4,95.8,96.0,95.7,95.6,100.0,10.8,79.1,13.3,27.9,65.8,5.3,31.6,2021
40,040041000260001,Belvidere,Boone,LARGE,1245,45.5,43.2,176.0,8.6,3.7,4.4,2.8,4.6,85.6,80.2,92.2,90.4,81.1,21.2,91.9,30.5,40.9,53.8,5.9,19.0,2021
41,040041000260002,Belvidere,Boone,LARGE,1418,63.4,28.2,176.0,8.5,2.5,3.0,2.0,4.4,87.2,84.2,90.6,90.7,72.4,21.0,88.9,22.4,38.2,61.0,9.0,27.9,2021
42,040042000260003,Poplar Grove,Boone,MEDIUM,469,62.7,36.9,176.0,6.5,3.8,5.5,2.2,3.0,82.3,77.0,88.5,80.5,73.2,20.2,84.0,12.7,14.8,57.6,9.9,25.0,2021
43,041011220220002,Machesney Park,Winnebago,LARGE,1953,69.6,45.4,176.0,13.7,3.7,4.4,2.9,5.4,83.1,78.0,88.5,84.0,73.0,25.7,94.5,43.2,53.1,52.9,6.9,18.9,2021
44,041012050250001,Rockford,Winnebago,LARGE,1756,28.2,57.8,176.0,26.5,14.3,18.1,10.5,20.0,56.3,49.0,62.9,65.0,47.8,19.2,85.5,65.0,75.0,54.3,12.1,26.5,2021
45,041012050250002,Rockford,Winnebago,LARGE,1520,29.0,62.9,176.0,21.2,10.6,12.8,8.0,12.7,62.8,58.1,67.7,71.1,56.0,17.1,87.6,53.9,60.5,50.0,6.6,10.9,2021
46,041012050250003,Rockford,Winnebago,LARGE,1805,39.7,46.7,176.0,19.5,5.9,7.3,4.3,8.5,75.0,71.4,78.8,81.9,61.4,18.2,88.7,46.7,60.6,43.6,5.5,14.0,2021
47,041012050250004,Rockford,Winnebago,LARGE,1793,20.6,61.0,176.0,19.6,9.7,10.3,9.0,11.2,63.6,54.8,73.0,57.6,56.5,18.7,87.4,57.8,63.1,40.0,3.9,11.3,2021
48,041012050253075,Rockford,Winnebago,LARGE,395,22.8,64.1,176.0,77.9,,,,,,,,,,5.0,85.0,,,,,,2021
49,041012070160001,Rockton,Winnebago,MEDIUM,1937,81.8,20.8,176.0,10.0,1.1,1.4,0.8,2.9,91.8,88.1,95.8,91.9,85.1,12.6,95.0,11.5,23.7,74.0,14.9,39.2,2021
50,041013200260001,South Beloit,Winnebago,MEDIUM,235,55.3,63.4,176.0,10.6,5.8,5.1,6.4,5.7,88.9,83.3,93.9,94.1,82.4,15.8,90.0,38.5,46.3,61.8,9.1,25.5,2021
51,041013210260001,Pecatonica,Winnebago,MEDIUM,279,88.9,25.1,176.0,8.2,2.8,2.7,2.9,4.1,91.6,85.7,97.6,91.7,80.0,15.8,91.8,17.0,30.3,78.0,17.0,42.4,2021
52,041013220260001,Durand,Winnebago,MEDIUM,185,93.5,24.3,177.0,3.4,3.7,4.1,3.2,9.6,91.1,95.0,88.0,91.1,70.0,13.5,92.5,22.3,35.4,57.9,15.8,29.0,2021
53,041013230260001,Winnebago,Winnebago,MEDIUM,397,84.9,20.7,176.0,5.6,5.1,5.6,4.7,5.6,84.9,79.0,91.2,86.9,78.9,15.3,93.3,37.6,55.6,66.4,8.4,36.5,2021
54,050162020170001,Evanston,Cook,MEDIUM,3621,45.6,32.5,181.0,5.0,1.4,1.8,1.0,2.2,94.1,92.0,96.5,96.3,88.1,15.5,93.6,8.3,17.0,79.3,33.6,63.5,2021
55,050162030170001,Winnetka,Cook,LARGE,2998,78.0,3.9,178.0,2.2,0.3,0.2,0.5,0.0,97.9,97.6,98.2,98.0,100.0,21.2,95.1,24.1,38.3,91.4,43.5,87.0,2021
56,050162030170002,Northfield,Cook,LARGE,973,76.2,2.1,178.0,0.9,0.7,0.8,0.6,4.3,,,,,,22.4,92.0,3.2,9.5,,,,2021
57,050162070170001,Park Ridge,Cook,LARGE,1834,40.0,27.5,180.0,4.6,0.8,0.9,0.7,0.8,92.8,89.9,96.2,92.6,92.1,21.3,90.5,27.1,33.7,86.1,23.3,45.6,2021
58,050162070170003,Park Ridge,Cook,LARGE,2356,85.8,5.2,180.0,2.0,0.9,0.7,1.1,1.7,97.5,97.8,97.2,97.9,92.6,24.7,92.4,15.8,40.3,90.9,27.9,69.0,2021
59,050162070170004,Des Plaines,Cook,LARGE,1969,42.0,23.1,180.0,3.4,1.0,1.1,0.9,1.4,91.1,86.5,95.4,92.4,85.0,22.3,93.1,32.3,46.0,80.9,21.0,42.6,2021
60,050162110170001,Hoffman Estates,Cook,LARGE,2375,45.9,26.8,180.0,2.8,0.7,0.6,0.7,0.8,96.8,94.6,98.7,98.1,92.1,23.9,96.2,5.7,11.0,83.6,16.1,49.0,2021
61,050162110170002,Palatine,Cook,LARGE,2583,50.8,16.6,180.0,2.4,0.9,1.3,0.5,2.3,95.6,94.9,96.4,96.7,84.3,23.7,95.9,3.8,14.0,86.0,18.0,62.7,2021
62,050162110170003,Palatine,Cook,LARGE,2569,36.5,56.2,180.0,4.2,1.7,2.0,1.3,2.3,90.6,86.7,94.6,93.4,88.9,20.8,97.4,12.5,18.8,72.1,11.4,34.6,2021
63,050162110170004,Schaumburg,Cook,LARGE,2187,47.4,33.7,180.0,3.9,0.6,0.8,0.4,1.4,96.0,95.6,96.6,97.4,94.0,22.1,97.4,8.3,15.3,81.7,17.0,43.3,2021
64,050162110170006,Hoffman Estates,Cook,LARGE,1967,30.0,49.6,180.0,3.7,0.7,0.6,0.8,0.7,95.7,94.0,98.1,96.5,93.8,21.2,97.4,8.7,13.0,74.2,14.2,33.5,2021
65,050162140170002,Elk Grove Village,Cook,LARGE,1898,39.5,40.6,182.0,9.4,0.6,0.7,0.6,1.1,93.4,90.7,96.6,95.2,89.3,23.3,96.1,16.2,23.0,67.3,17.0,34.4,2021
66,050162140170004,Arlington Heights,Cook,LARGE,1966,69.9,16.5,182.0,3.0,0.6,0.7,0.5,2.1,94.9,96.4,93.4,95.8,85.9,24.8,97.2,4.6,12.7,80.7,20.0,55.7,2021
67,050162140170005,Mt Prospect,Cook,LARGE,2130,73.1,13.2,182.0,4.0,0.5,0.7,0.3,1.8,96.2,95.5,97.0,97.3,91.0,25.4,94.1,4.7,11.9,80.8,21.0,58.6,2021
68,050162140170006,Wheeling,Cook,LARGE,1708,25.3,46.9,182.0,5.8,1.4,2.2,0.5,1.9,89.2,86.3,92.8,95.1,84.1,23.8,92.7,19.1,24.9,60.9,17.9,31.4,2021
69,050162140170007,Rolling Meadows,Cook,LARGE,1932,49.8,31.2,182.0,6.5,1.1,1.4,0.7,1.1,91.6,88.5,94.8,95.8,85.8,24.2,93.9,16.8,26.2,72.9,15.8,47.3,2021
70,050162140170008,Buffalo Grove,Cook,LARGE,1942,54.0,24.1,182.0,3.3,1.0,1.2,0.7,1.8,93.4,90.9,96.0,94.4,92.6,23.6,98.4,14.4,25.0,72.6,17.0,46.3,2021
71,050162190170002,Skokie,Cook,LARGE,2021,36.6,21.5,176.0,3.1,1.2,1.3,1.0,1.6,91.0,88.7,93.5,91.5,87.2,20.0,94.8,20.1,25.9,83.7,25.1,49.2,2021
72,050162190170003,Skokie,Cook,LARGE,2478,43.7,20.9,176.0,1.9,0.8,0.9,0.8,1.4,93.4,90.6,96.6,92.3,90.1,21.5,96.4,26.0,31.6,86.9,26.1,52.4,2021
73,050162250170001,Northbrook,Cook,LARGE,1978,71.4,4.7,178.0,8.7,0.7,0.7,0.6,3.4,96.3,95.6,97.1,96.1,93.8,23.1,94.9,4.4,9.3,94.8,32.2,84.9,2021
74,050162250170002,Glenview,Cook,LARGE,3074,60.9,16.7,178.0,5.9,0.7,1.0,0.5,2.1,96.2,94.8,97.7,97.3,91.7,22.7,94.9,10.1,27.1,88.2,29.7,71.0,2021
75,060162000130001,Oak Park,Cook,MEDIUM,3364,56.4,16.0,178.0,4.9,1.6,1.6,1.5,2.6,94.6,92.7,96.4,96.3,88.8,23.4,92.6,20.5,42.6,85.1,34.6,69.4,2021
76,060162010170001,Cicero,Cook,LARGE,3186,1.7,90.9,176.0,7.7,4.9,6.3,3.6,4.4,73.4,67.9,79.6,80.0,74.5,20.5,91.2,26.5,26.0,57.5,9.0,18.1,2021
77,060162010170002,Berwyn,Cook,LARGE,3357,5.2,80.2,176.0,4.5,3.6,4.1,3.1,3.5,72.4,66.0,79.9,71.4,71.8,22.5,90.5,18.1,19.1,60.0,8.6,18.2,2021
78,060162010170003,Cicero,Cook,LARGE,1100,8.3,83.5,176.0,2.7,1.5,1.6,1.4,1.6,,,,,,20.1,82.9,19.3,19.2,,,,2021
79,060162040170001,La Grange,Cook,LARGE,3975,69.6,11.1,178.0,2.0,0.9,0.8,1.0,3.1,95.2,94.4,96.1,96.7,84.5,22.9,96.8,6.4,17.3,80.5,24.4,63.0,2021
80,060162080170001,Riverside,Cook,MEDIUM,1624,52.0,9.4,176.0,2.9,0.2,0.2,0.3,0.7,95.5,92.7,98.1,96.3,95.3,24.2,94.0,7.7,17.8,79.3,21.7,51.2,2021
81,060162090170001,Maywood,Cook,LARGE,1559,1.7,39.4,176.0,8.7,3.4,4.7,1.9,5.6,71.0,65.3,78.4,,72.1,16.5,82.9,35.8,37.2,48.5,8.9,13.6,2021
82,060162090170002,Hillside,Cook,LARGE,1792,0.9,31.9,176.0,8.9,2.8,3.7,1.9,5.2,82.3,80.6,84.0,,81.3,18.3,77.5,26.5,29.1,54.8,9.0,18.9,2021
83,060162090170003,Forest Park,Cook,LARGE,863,5.2,17.8,176.0,1.4,0.1,0.3,0.0,0.5,100.0,100.0,100.0,,100.0,23.9,79.7,4.7,5.3,82.4,22.9,50.2,2021
84,060162120160001,Franklin Park,Cook,MEDIUM,1772,38.1,41.0,176.0,12.8,1.7,2.2,1.2,2.3,84.2,80.3,88.2,85.5,78.2,13.6,91.2,23.5,30.1,72.2,17.4,30.8,2021
85,060162120160002,Northlake,Cook,MEDIUM,1649,12.7,45.8,176.0,14.6,2.3,2.8,1.7,3.1,85.2,83.3,87.4,89.7,82.7,14.1,93.6,23.4,29.4,62.6,12.0,24.1,2021
86,060162340160001,Norridge,Cook,MEDIUM,811,64.7,31.6,176.0,6.3,0.4,0.7,0.0,0.4,95.9,93.9,97.6,94.7,94.4,22.1,92.5,11.6,20.6,73.5,16.0,35.0,2021
87,060164010260001,Elmwood Park,Cook,LARGE,967,36.3,44.2,178.0,4.3,2.4,2.6,2.3,3.2,81.0,80.0,82.0,83.0,75.0,24.1,87.6,29.5,36.5,74.1,15.0,27.7,2021
88,070162050170001,Harvey,Cook,LARGE,1475,,87.7,177.0,20.2,10.6,12.5,8.6,10.1,73.9,64.8,82.4,,74.4,18.9,89.1,21.8,22.5,42.7,9.0,23.7,2021
89,070162050170002,Dolton,Cook,LARGE,999,,77.4,177.0,11.0,5.6,8.4,2.6,5.7,73.1,65.4,81.1,,74.4,19.9,89.6,18.3,20.3,46.1,12.2,26.9,2021
90,070162050170003,South Holland,Cook,LARGE,1838,1.1,75.0,177.0,9.0,2.1,2.2,2.0,2.2,84.4,81.0,88.5,58.3,85.4,23.4,93.9,10.8,12.3,55.4,10.9,32.1,2021
91,070162060170001,Chicago Heights,Cook,MEDIUM,1631,2.6,73.8,177.0,8.7,1.7,2.3,0.9,1.9,88.1,84.4,91.9,90.0,88.3,24.2,86.3,45.0,47.4,48.7,7.6,25.3,2021
92,070162060170002,Chicago Heights,Cook,MEDIUM,1151,12.0,69.9,177.0,8.7,4.5,6.2,2.7,5.9,80.4,79.9,80.8,80.4,79.6,22.6,90.9,51.8,55.7,42.4,4.7,23.2,2021
93,070162100170001,Lemont,Cook,MEDIUM,1390,80.7,13.4,176.0,2.2,0.9,1.0,0.7,2.7,96.4,96.5,96.4,97.3,93.5,23.7,97.0,8.6,17.5,84.2,23.2,62.5,2021
94,070162150170001,Calumet City,Cook,MEDIUM,1259,2.0,73.7,178.0,4.5,5.2,7.4,2.9,4.9,81.7,76.2,87.0,,81.6,21.6,92.2,20.5,19.7,51.2,9.2,28.1,2021
95,070162150170002,Lansing,Cook,MEDIUM,1840,9.9,47.2,178.0,5.8,4.0,4.0,3.9,5.2,86.3,84.0,89.2,79.7,83.2,24.0,95.7,9.1,10.3,55.9,9.4,32.6,2021
96,070162170160001,Summit,Cook,MEDIUM,1869,32.7,52.3,178.0,5.2,1.7,2.0,1.5,1.8,88.6,85.7,91.7,88.7,87.1,21.9,96.7,20.9,23.8,64.8,6.3,21.1,2021
97,070162180160001,Blue Island,Cook,LARGE,1757,6.9,82.5,177.0,5.5,2.8,3.6,2.0,2.9,80.8,78.3,83.5,73.9,80.2,24.2,92.2,31.7,34.7,54.0,7.7,17.4,2021
98,070162180160004,Oak Lawn,Cook,LARGE,1588,45.2,60.9,177.0,3.8,2.6,2.9,2.2,3.5,84.5,79.7,89.9,87.0,82.4,23.0,92.6,18.5,23.2,66.4,9.0,23.1,2021
99,070162180160007,Palos Heights,Cook,LARGE,1777,42.9,61.7,177.0,3.5,2.3,2.5,2.2,3.0,88.1,83.3,93.5,91.0,85.8,25.1,92.1,16.2,21.3,60.3,10.7,23.7,2021
100,070162200170001,Burbank,Cook,MEDIUM,1956,36.8,47.6,176.0,3.7,0.9,1.3,0.4,0.5,87.4,83.5,91.7,85.6,83.1,25.3,93.4,17.2,22.3,65.3,10.6,18.8,2021
101,070162270170002,Olympia Fields,Cook,MEDIUM,2430,1.5,99.7,179.0,7.5,1.5,1.6,1.5,1.2,83.4,79.3,87.6,81.8,84.5,17.5,61.4,53.7,53.5,52.3,13.2,34.5,2021
102,070162280160001,Midlothian,Cook,LARGE,1376,12.8,32.3,177.0,5.0,2.1,2.7,1.4,1.5,88.2,83.0,93.9,87.0,87.1,22.8,94.1,28.2,38.0,46.6,5.3,18.7,2021
103,070162280160002,Tinley Park,Cook,LARGE,1025,41.4,25.7,177.0,4.2,2.3,3.1,1.6,3.5,89.3,90.3,88.4,91.5,87.3,23.3,95.6,23.2,34.9,63.2,18.0,37.2,2021
104,070162280160003,Country Club Hills,Cook,LARGE,1179,,61.5,177.0,12.9,5.1,6.2,3.9,6.8,66.9,60.7,72.9,,65.9,23.5,91.5,49.5,54.5,39.0,7.9,26.7,2021
105,070162280160004,Oak Forest,Cook,LARGE,1438,50.1,27.3,177.0,7.7,0.8,1.2,0.3,1.3,94.1,91.6,96.8,97.7,94.4,24.5,94.5,18.3,32.4,62.9,18.1,41.9,2021
106,070162290160001,Oak Lawn,Cook,MEDIUM,1815,55.5,37.1,176.0,4.4,1.5,1.9,1.1,1.8,89.6,87.5,92.1,92.1,87.8,24.2,95.0,2.8,3.7,69.5,17.5,30.5,2021
107,070162300130001,Orland Park,Cook,LARGE,2787,72.3,17.3,179.0,2.3,0.6,0.8,0.4,1.2,94.5,93.0,95.8,95.1,92.5,23.0,95.6,7.3,15.7,82.6,21.6,51.2,2021
108,070162300130002,Palos Hills,Cook,LARGE,2436,72.5,36.6,179.0,3.2,0.9,1.3,0.4,1.0,93.6,90.4,97.1,94.5,92.7,22.7,96.5,8.6,15.2,77.9,16.8,35.5,2021
109,070162300130003,Orland Hills,Cook,LARGE,2193,73.7,20.6,179.0,2.8,1.2,1.3,1.1,2.2,94.9,94.5,95.5,94.5,93.2,22.4,96.9,5.3,11.0,79.7,21.4,47.2,2021
110,070162310160001,Evergreen Park,Cook,MEDIUM,851,37.0,37.5,176.0,2.2,0.9,0.9,1.0,2.5,94.4,94.3,94.6,92.5,90.3,22.3,96.4,14.2,24.3,67.2,11.1,34.8,2021
111,070162330160001,Flossmoor,Cook,MEDIUM,2782,16.1,6.0,178.0,2.7,1.6,1.9,1.3,7.5,96.4,95.1,97.8,97.2,89.1,23.2,92.3,22.0,27.7,74.8,20.5,52.4,2021
112,080083080260001,Lanark,Carroll,MEDIUM,339,89.1,38.1,177.0,7.3,3.0,5.0,1.0,4.2,88.5,84.6,92.3,87.2,75.0,12.7,85.9,13.3,26.9,70.2,8.5,29.8,2021
113,080083140260001,Savanna,Carroll,MEDIUM,280,85.7,47.5,176.0,13.7,3.2,4.9,1.4,4.3,91.7,87.5,95.5,91.0,88.2,15.9,77.6,32.1,41.8,43.9,6.1,15.2,2021
114,080083990260002,Milledgeville,Carroll,MEDIUM,181,94.5,42.0,176.0,6.0,2.3,2.6,1.9,5.3,91.9,85.7,100.0,91.9,81.3,11.7,86.8,16.0,22.5,56.1,9.8,22.0,2021
115,080431190220003,East Dubuque,Jo Daviess,MEDIUM,203,89.2,28.6,176.0,10.7,2.6,1.8,3.8,5.6,75.5,74.2,77.3,80.9,38.5,15.2,85.0,13.5,27.0,77.6,20.7,44.8,2021
116,080431200220002,Galena,Jo Daviess,MEDIUM,227,80.2,30.4,177.0,9.0,3.4,3.3,3.4,11.8,86.2,86.2,86.2,89.4,71.4,17.0,96.2,9.6,26.5,69.8,15.1,49.1,2021
117,080432050260001,Warren,Jo Daviess,SMALL,189,94.7,33.9,176.0,6.3,2.0,3.5,0.0,3.3,77.3,80.0,75.0,76.2,,11.7,82.9,14.3,27.1,60.9,21.7,34.8,2021
118,080432060260003,Stockton,Jo Daviess,MEDIUM,162,95.7,37.7,176.0,8.0,5.7,4.1,7.9,6.3,77.8,80.0,75.0,80.5,58.8,12.9,89.3,5.8,12.5,71.4,11.9,31.0,2021
119,080432100260002,Hanover,Jo Daviess,MEDIUM,145,86.2,33.8,176.0,5.2,0.7,1.4,0.0,2.0,94.3,90.5,100.0,100.0,84.6,13.1,91.7,17.6,35.6,71.9,28.1,40.6,2021
120,080432110260002,Scales Mound,Jo Daviess,SMALL,80,92.5,18.8,176.0,4.6,0.0,0.0,0.0,0.0,89.5,83.3,,88.9,,9.6,90.9,9.6,35.3,83.3,16.7,58.3,2021
121,080891450220001,Freeport,Stephenson,LARGE,1031,51.3,60.0,176.0,18.0,9.0,9.3,8.8,10.9,73.0,71.3,74.8,78.0,66.1,18.4,86.8,21.0,25.1,56.5,8.0,21.4,2021
