,schoolcode,totalenroll,whiteenroll,blackenroll,hispanicenroll,lowincomeenroll,attendance,mobility,dropout,graduation,classsize,retention,year,School Mode Score,Charter,DistrictName,SchoolName,SchoolType,EnrollmentTotal
29,110238000800001,580.0,96.7,0.0,0.0,30.7,93.3,9.9,1.9,85.3,21.0,93.5,2018,0.0,No,Paris Cooperative High School,Paris Cooperative High School,Other/alternative school,527
30,110703000260004,303.0,93.4,0.0,0.0,37.3,92.0,11.6,2.1,86.4,19.0,84.2,2021,0.2272727272727272,No,Sullivan CUSD 300,Sullivan High School,Regular school,302
31,110703000260004,304.0,94.1,0.7,1.6,39.1,94.3,12.9,2.5,92.2,17.6,82.8,2019,0.2272727272727272,No,Sullivan CUSD 300,Sullivan High School,Regular school,302
32,110703000260004,328.0,94.8,0.0,0.0,40.2,94.9,7.8,0.3,96.2,17.0,81.0,2018,0.2272727272727272,No,Sullivan CUSD 300,Sullivan High School,Regular school,302
33,110703020260001,164.0,97.0,0.0,0.0,36.6,97.4,10.9,2.5,100.0,9.3,94.3,2021,0.2272727272727272,No,Okaw Valley CUSD 302,Okaw Valley High School,Regular school,158
34,110703020260001,157.0,96.2,0.0,0.0,43.3,93.5,14.4,3.3,97.8,12.7,92.3,2019,0.2272727272727272,No,Okaw Valley CUSD 302,Okaw Valley High School,Regular school,158
35,110703020260001,169.0,96.4,0.0,0.0,40.2,95.2,4.6,0.6,95.8,15.0,88.1,2018,0.2272727272727272,No,Okaw Valley CUSD 302,Okaw Valley High School,Regular school,158
36,110870040260001,348.0,95.4,0.0,0.0,38.5,92.9,10.8,2.3,92.6,13.0,84.8,2021,0.0,No,Shelbyville CUSD 4,Shelbyville High School,Regular school,347
37,110870040260001,312.0,96.2,0.3,1.9,41.7,93.6,11.4,3.2,88.5,16.3,86.8,2019,0.0,No,Shelbyville CUSD 4,Shelbyville High School,Regular school,347
38,110870040260001,323.0,97.8,0.0,0.0,39.6,93.1,10.5,0.6,92.6,16.0,84.8,2018,0.0,No,Shelbyville CUSD 4,Shelbyville High School,Regular school,347
39,11087005A260001,122.0,99.2,0.0,0.0,30.3,95.9,4.3,1.6,100.0,15.7,93.8,2021,0.0454545454545454,No,Stewardson-Strasburg CUD 5A,Stewardson-Strasburg High School,Regular school,121
40,11087005A260001,110.0,100.0,0.0,0.0,29.1,95.1,8.1,5.2,92.6,17.0,92.9,2019,0.0454545454545454,No,Stewardson-Strasburg CUD 5A,Stewardson-Strasburg High School,Regular school,121
41,11087005A260001,105.0,99.0,0.0,0.0,32.4,94.5,7.3,0.0,100.0,11.0,92.9,2018,0.0454545454545454,No,Stewardson-Strasburg CUD 5A,Stewardson-Strasburg High School,Regular school,121
42,110870210260001,216.0,95.8,0.0,0.0,37.5,97.5,5.7,4.3,96.2,14.0,91.8,2021,0.3636363636363636,No,Central A & M CUD 21,Central A & M High School,Regular school,213
43,110870210260001,223.0,93.7,3.6,0.0,34.5,95.0,8.8,2.4,93.9,13.9,91.8,2019,0.3636363636363636,No,Central A & M CUD 21,Central A & M High School,Regular school,213
44,110870210260001,218.0,93.1,0.0,0.0,41.7,94.3,10.9,1.8,88.5,10.0,86.2,2018,0.3636363636363636,No,Central A & M CUD 21,Central A & M High School,Regular school,213
