,schoolcode,schoolname,districtname,mathpass,totaltested,percenttotaltested,male,female,white,black,hispanic,asian,disability,lowincome,year,schoolmode,SchoolType,EnrollmentTotal
25,110230060260001,Chrisman High School,Edgar County CUD 6,0.077,26.0,1.0,0.4230769230769231,0.5769230769230769,1.0,0.0,0.0,0.0,0.0,0.0,2019,0.0454545454545454,Regular school,97
26,110230060260001,Chrisman High School,Edgar County CUD 6,0.037000000000000005,27.0,0.9640000000000001,0.5555555555555556,0.4444444444444444,0.9629629629629628,0.0,0.0,0.0,0.0,0.4444444444444444,2018,0.0454545454545454,Regular school,97
27,110238000800001,Paris Cooperative High School,Paris Cooperative High School,0.14,108.0,0.7879999999999999,0.5,0.5,0.9444444444444444,0.0,0.0,0.0,0.0,0.4259259259259259,2021,0.0,Other/alternative school,527
28,110238000800001,Paris Cooperative High School,Paris Cooperative High School,0.251,146.0,0.9420000000000001,0.5273972602739726,0.4726027397260274,0.9794520547945206,0.0,0.0,0.0,0.0958904109589041,0.3835616438356164,2019,0.0,Other/alternative school,527
29,110238000800001,Paris Cooperative High School,Paris Cooperative High School,0.266,109.0,0.956,0.4862385321100917,0.5137614678899083,0.981651376146789,0.0,0.0,0.0,0.110091743119266,0.3027522935779816,2018,0.0,Other/alternative school,527
30,110703000260004,Sullivan High School,Sullivan CUSD 300,0.16699999999999998,66.0,0.985,0.5,0.5,0.8939393939393939,0.0,0.0,0.0,0.0,0.3181818181818182,2021,0.2272727272727272,Regular school,302
31,110703000260004,Sullivan High School,Sullivan CUSD 300,0.14800000000000002,74.0,0.9490000000000001,0.3513513513513513,0.6486486486486487,0.9594594594594594,0.0,0.0,0.0,0.0,0.3648648648648648,2019,0.2272727272727272,Regular school,302
32,110703000260004,Sullivan High School,Sullivan CUSD 300,0.29,69.0,0.986,0.5797101449275363,0.4202898550724637,0.8840579710144928,0.0,0.0,0.0,0.0,0.4492753623188406,2018,0.2272727272727272,Regular school,302
33,110703020260001,Okaw Valley High School,Okaw Valley CUSD 302,0.077,39.0,1.0,0.4871794871794871,0.5128205128205128,1.0,0.0,0.0,0.0,0.0,0.4358974358974359,2021,0.2272727272727272,Regular school,158
34,110703020260001,Okaw Valley High School,Okaw Valley CUSD 302,0.098,41.0,1.0,0.5121951219512195,0.4878048780487805,0.975609756097561,0.0,0.0,0.0,0.0,0.4146341463414634,2019,0.2272727272727272,Regular school,158
35,110703020260001,Okaw Valley High School,Okaw Valley CUSD 302,0.07,43.0,1.0,0.4186046511627907,0.5813953488372093,0.9767441860465116,0.0,0.0,0.0,0.0,0.4418604651162791,2018,0.2272727272727272,Regular school,158
36,110870040260001,Shelbyville High School,Shelbyville CUSD 4,0.165,79.0,0.919,0.5189873417721519,0.4810126582278481,1.0,0.0,0.0,0.0,0.1518987341772152,0.3544303797468354,2021,0.0,Regular school,347
37,110870040260001,Shelbyville High School,Shelbyville CUSD 4,0.33299999999999996,69.0,0.972,0.5507246376811594,0.4492753623188406,0.9420289855072465,0.0,0.0,0.0,0.0,0.4347826086956521,2019,0.0,Regular school,347
38,110870040260001,Shelbyville High School,Shelbyville CUSD 4,0.324,71.0,1.0,0.3943661971830985,0.6056338028169014,0.9859154929577464,0.0,0.0,0.0,0.0,0.4366197183098591,2018,0.0,Regular school,347
39,11087005A260001,Stewardson-Strasburg High Scho,Stewardson-Strasburg CUD 5A,0.182,33.0,0.971,0.6363636363636364,0.3636363636363636,1.0,0.0,0.0,0.0,0.0,0.4545454545454545,2021,0.0454545454545454,Regular school,121
40,11087005A260001,Stewardson-Strasburg High School,Stewardson-Strasburg CUD 5A,0.33299999999999996,18.0,1.0,0.0,0.7777777777777778,1.0,0.0,0.0,0.0,0.0,0.0,2019,0.0454545454545454,Regular school,121
41,11087005A260001,Stewardson-Strasburg High School,Stewardson-Strasburg CUD 5A,0.308,26.0,1.0,0.4615384615384615,0.5384615384615384,1.0,0.0,0.0,0.0,0.0,0.4230769230769231,2018,0.0454545454545454,Regular school,121
42,110870210260001,Central A & M High School,Central A & M CUD 21,0.115,52.0,1.0,0.4615384615384615,0.5384615384615384,1.0,0.0,0.0,0.0,0.1923076923076923,0.2307692307692307,2021,0.3636363636363636,Regular school,213
43,110870210260001,Central A & M High School,Central A & M CUD 21,0.214,56.0,0.966,0.5,0.5,0.8928571428571429,0.0,0.0,0.0,0.0,0.3392857142857143,2019,0.3636363636363636,Regular school,213
44,110870210260001,Central A & M High School,Central A & M CUD 21,0.161,62.0,0.9840000000000001,0.4677419354838709,0.532258064516129,0.9516129032258064,0.0,0.0,0.0,0.0,0.5,2018,0.3636363636363636,Regular school,213
45,120130250260001,North Clay Community High Scho,North Clay CUSD 25,0.20800000000000002,48.0,0.96,0.4583333333333333,0.5416666666666666,0.9583333333333334,0.0,0.0,0.0,0.0,0.3958333333333333,2021,0.0,Regular school,181
46,120130250260001,North Clay Community High School,North Clay CUSD 25,0.188,48.0,1.0,0.5416666666666666,0.4583333333333333,0.9791666666666666,0.0,0.0,0.0,0.2291666666666666,0.3125,2019,0.0,Regular school,181
47,120130250260001,North Clay Community High School,North Clay CUSD 25,0.26899999999999996,52.0,1.0,0.4807692307692308,0.5192307692307693,0.9230769230769232,0.0,0.0,0.0,0.0,0.3653846153846153,2018,0.0,Regular school,181
48,120130350260001,Flora High School,Flora CUSD 35,0.09,78.0,1.0,0.4871794871794871,0.5128205128205128,0.9487179487179488,0.0,0.0,0.0,0.0,0.2435897435897435,2021,0.0909090909090909,Regular school,383
49,120130350260001,Flora High School,Flora CUSD 35,0.085,58.0,0.935,0.5517241379310345,0.4482758620689655,0.9655172413793104,0.0,0.0,0.0,0.0,0.5172413793103449,2019,0.0909090909090909,Regular school,383
50,120130350260001,Flora High School,Flora CUSD 35,0.149,94.0,0.9890000000000001,0.351063829787234,0.648936170212766,0.9148936170212766,0.0,0.0,0.0,0.0,0.4574468085106383,2018,0.0909090909090909,Regular school,383
51,120170010260001,Hutsonville High School,Hutsonville CUSD 1,0.214,28.0,1.0,0.4642857142857143,0.5357142857142857,0.8214285714285714,0.0,0.0,0.0,0.0,0.0,2021,0.1363636363636363,Regular school,104
52,120170010260001,Hutsonville High School,Hutsonville CUSD 1,0.179,28.0,0.966,0.5,0.5,0.9642857142857144,0.0,0.0,0.0,0.0,0.6428571428571429,2019,0.1363636363636363,Regular school,104
53,120170010260001,Hutsonville High School,Hutsonville CUSD 1,0.259,27.0,0.9640000000000001,0.4814814814814814,0.5185185185185185,0.9629629629629628,0.0,0.0,0.0,0.0,0.0,2018,0.1363636363636363,Regular school,104
54,120170020260001,Robinson High School,Robinson CUSD 2,0.23600000000000002,110.0,0.982,0.4727272727272727,0.5272727272727272,0.9090909090909092,0.0,0.0,0.0,0.1,0.3545454545454545,2021,0.0,Regular school,494
