,RCDTS,City,County,District Size,Total Number of School Days,Student Mobility Rate,High School Dropout Rate - Total,High School Dropout Rate - Male,High School Dropout Rate - Female,High School Dropout Rate - Low Income,High School 4-Year Graduation Rate - Total,High School 4-Year Graduation Rate - Male,High School 4-Year Graduation Rate - Female,High School 4-Year Graduation Rate - White,High School 4-Year Graduation Rate - Low Income,Avg Class Size - High School,Teacher Retention Rate,Chronic Absenteeism,Chronic Absenteeism - Low Income,Year
535,450790010220001,Coulterville,Randolph,SMALL,176.0,7.3,1.8,0.0,3.3,2.8,90.0,,,,,9.1,92.3,25.8,32.6,2021
536,450791320260001,Red Bud,Randolph,MEDIUM,176.0,6.8,2.9,3.9,1.8,7.2,91.4,87.7,95.8,91.1,82.9,18.2,89.7,14.6,25.7,2021
537,450791380260001,Steeleville,Randolph,SMALL,176.0,4.3,2.0,2.4,1.6,4.3,89.5,90.5,88.2,88.6,85.7,15.1,85.3,12.8,29.2,2021
538,450791390260001,Chester,Randolph,MEDIUM,176.0,7.1,2.0,1.2,2.9,2.8,88.0,89.1,87.0,89.1,85.4,18.1,90.8,15.9,27.5,2021
539,450791400260001,Sparta,Randolph,MEDIUM,176.0,15.6,4.6,5.9,3.2,6.6,74.7,69.8,79.2,75.7,56.9,17.8,83.1,45.9,62.9,2021
540,470521700220001,Dixon,Lee,LARGE,176.0,9.5,1.5,1.9,1.1,2.7,87.2,86.4,87.9,86.4,82.0,23.7,92.1,27.1,40.2,2021
541,470522720260001,Amboy,Lee,MEDIUM,176.0,13.3,2.0,1.0,3.1,3.8,88.5,90.3,86.7,87.3,80.0,13.4,88.2,35.5,50.6,2021
542,470522750260001,Ashton,Lee,MEDIUM,176.0,5.3,2.1,1.5,2.5,1.8,95.0,100.0,91.3,94.3,93.3,16.5,90.5,14.7,30.7,2021
543,470712120170001,Rochelle,Ogle,MEDIUM,176.0,12.2,2.2,2.5,1.9,6.4,91.6,90.6,92.9,95.0,85.0,13.9,91.6,57.0,65.0,2021
544,470712200260001,Oregon,Ogle,MEDIUM,176.0,18.7,1.8,2.0,1.6,2.3,92.9,90.7,94.8,93.8,90.6,19.4,82.4,18.4,31.1,2021
545,470712210260004,Forreston,Ogle,MEDIUM,177.0,5.8,2.1,1.8,2.4,1.5,91.2,95.8,87.9,92.5,78.6,16.8,87.5,11.7,26.6,2021
546,470712220260004,Polo,Ogle,MEDIUM,174.0,2.3,4.7,4.7,4.7,7.0,92.9,90.5,95.2,95.1,100.0,13.9,100.0,11.4,17.4,2021
547,470712230260003,Stillman Valley,Ogle,MEDIUM,176.0,15.8,2.0,2.4,1.5,4.2,95.3,94.3,96.5,95.9,87.1,20.7,96.9,26.1,45.5,2021
548,470712260260001,Byron,Ogle,MEDIUM,176.0,5.6,1.1,1.3,1.0,2.2,85.8,86.6,85.1,86.8,67.7,13.9,93.3,11.9,27.4,2021
549,470980010260001,Erie,Whiteside,MEDIUM,176.0,11.8,2.5,4.6,0.0,3.8,91.2,86.8,100.0,92.5,82.4,13.0,94.1,11.7,26.3,2021
550,470980020260001,Fulton,Whiteside,MEDIUM,176.0,8.1,3.4,3.2,3.8,3.8,83.8,82.5,85.3,82.9,82.6,18.4,91.2,11.9,20.4,2021
551,470980030260001,Prophetstown,Whiteside,MEDIUM,176.0,12.0,4.3,3.4,5.4,6.7,79.4,73.3,84.8,82.5,64.3,15.0,83.3,23.2,34.1,2021
552,470980050260014,Sterling,Whiteside,LARGE,176.0,10.9,3.8,4.6,2.8,4.5,89.1,85.1,93.2,91.9,83.9,17.8,92.1,22.2,31.8,2021
553,470980060260001,Morrison,Whiteside,MEDIUM,176.0,5.0,3.8,3.6,4.1,6.6,85.7,76.7,93.9,89.8,70.0,16.2,83.6,33.0,43.4,2021
554,470983010170001,Rock Falls,Whiteside,SMALL,176.0,8.4,2.2,1.1,3.1,3.7,93.7,91.7,95.4,93.8,91.1,19.1,95.1,3.3,5.4,2021
555,480721500250023,Peoria,Peoria,LARGE,176.0,33.3,10.5,12.6,8.0,10.8,68.8,61.7,76.8,23.1,68.5,17.0,81.9,66.6,68.6,2021
556,480721500250024,Peoria,Peoria,LARGE,176.0,27.4,7.5,10.5,4.6,8.2,68.0,61.7,74.5,55.3,67.5,22.0,86.8,45.9,48.1,2021
557,480721500250025,Peoria,Peoria,LARGE,176.0,11.6,2.1,2.7,1.6,2.6,90.1,88.7,91.6,92.6,82.4,21.1,89.9,19.2,32.6,2021
558,480721500250028,Peoria,Peoria,LARGE,176.0,40.0,0.0,0.0,0.0,0.0,100.0,,,,,15.2,,0.0,0.0,2021
559,480722650260001,Farmington,Peoria,MEDIUM,176.0,14.9,5.7,6.3,5.1,8.5,81.4,82.1,80.7,82.5,70.3,18.8,80.3,16.6,32.0,2021
560,480723090260003,Brimfield,Peoria,MEDIUM,176.0,4.3,0.9,0.9,1.0,7.7,91.9,91.4,92.6,91.9,,16.4,88.5,13.0,25.9,2021
561,480723100160001,Peoria,Peoria,MEDIUM,176.0,17.4,6.1,5.2,7.1,9.4,78.9,79.2,78.5,79.8,69.8,18.4,90.4,36.2,48.1,2021
562,480723210260007,Chillicothe,Peoria,LARGE,176.0,9.1,3.7,4.4,3.0,5.5,88.0,85.2,91.3,88.8,78.0,19.1,88.3,17.9,31.9,2021
563,480723220260004,Elmwood,Peoria,MEDIUM,176.0,10.3,5.1,3.1,7.1,14.3,87.3,84.2,90.9,93.5,60.0,15.0,94.4,9.3,23.5,2021
564,480723230260004,Dunlap,Peoria,LARGE,176.0,6.6,2.7,2.3,3.0,5.4,90.2,88.2,92.3,91.1,68.6,23.0,91.8,34.9,50.7,2021
565,480723250260005,Peoria Heights,Peoria,MEDIUM,176.0,11.6,3.0,3.7,2.2,2.9,89.8,87.1,92.9,95.1,86.8,15.6,75.5,14.2,20.2,2021
566,480723260260005,Princeville,Peoria,MEDIUM,176.0,6.4,2.7,3.4,1.9,3.3,90.6,93.9,87.1,91.7,83.3,14.8,93.7,8.0,18.8,2021
567,480723270260008,Glasford,Peoria,MEDIUM,176.0,14.3,3.9,5.8,2.2,9.1,79.3,66.7,92.9,81.1,52.9,16.6,85.7,56.5,74.1,2021
568,490810300170001,East Moline,Rock Island,MEDIUM,177.0,6.6,3.1,3.4,2.6,4.3,93.9,92.3,95.5,93.4,92.7,10.3,93.0,6.2,7.7,2021
569,490810400220001,Moline,Rock Island,LARGE,178.0,9.3,2.9,4.3,1.3,4.5,90.3,87.5,93.2,92.9,83.0,25.4,91.8,58.7,73.4,2021
570,490810410250001,Rock Island,Rock Island,LARGE,178.0,13.8,4.8,5.4,4.1,3.2,79.5,79.6,79.3,81.0,74.4,24.1,95.0,70.0,69.4,2021
571,490811000260001,Port Byron,Rock Island,MEDIUM,176.0,7.0,3.0,1.6,4.8,8.9,98.7,97.9,100.0,98.6,100.0,14.1,84.5,27.1,39.7,2021
572,490812000260001,Sherrard,Rock Island,MEDIUM,176.0,4.3,1.0,1.9,0.0,2.0,94.6,93.2,96.2,94.1,90.0,16.8,79.5,31.3,55.9,2021
573,490813000260001,Taylor Ridge,Rock Island,MEDIUM,176.0,6.0,2.2,3.1,1.2,6.3,87.5,85.7,89.7,90.2,63.2,18.5,93.0,21.6,41.5,2021
574,500820090260003,Lebanon,Saint Clair,MEDIUM,176.0,6.5,1.4,1.5,1.3,4.5,88.4,95.7,80.0,91.2,66.7,13.5,89.9,30.1,45.0,2021
575,500820190260001,Mascoutah,Saint Clair,LARGE,177.0,9.6,2.4,2.9,1.8,5.4,91.6,91.8,91.4,93.3,83.0,23.1,92.6,17.6,29.6,2021
576,500820400260001,Marissa,Saint Clair,MEDIUM,176.0,13.0,0.7,1.3,0.0,1.1,92.3,94.7,90.0,91.9,83.3,11.7,88.5,24.5,35.3,2021
577,500820600260003,New Athens,Saint Clair,MEDIUM,176.0,1.9,2.1,3.8,0.0,3.3,83.0,82.1,84.2,82.2,76.5,13.6,93.8,15.1,22.2,2021
578,500820770160001,Freeburg,Saint Clair,SMALL,176.0,4.6,1.9,2.0,1.9,5.8,89.7,96.2,83.3,92.0,65.2,20.2,87.8,6.9,23.5,2021
579,500821870260011,Cahokia,Saint Clair,LARGE,176.0,14.6,7.0,8.8,5.2,7.1,61.6,55.6,67.2,57.1,62.3,23.3,90.8,82.3,83.6,2021
580,500821880220001,Lovejoy,Saint Clair,SMALL,177.0,21.9,3.1,5.3,0.0,3.1,,,,,,,100.0,85.0,85.0,2021
581,500821890220043,East Saint Louis,Saint Clair,LARGE,199.0,11.4,5.8,7.5,4.1,6.0,70.9,64.4,77.6,,72.1,21.2,87.6,83.0,83.3,2021
582,500821960260001,Dupo,Saint Clair,MEDIUM,176.0,10.4,4.7,6.8,2.6,6.7,80.3,72.1,90.9,78.6,74.4,16.4,85.5,30.9,45.6,2021
583,500822010170001,Belleville,Saint Clair,LARGE,177.0,18.9,2.3,2.7,1.8,2.3,90.0,88.1,91.7,90.0,89.3,23.7,89.2,6.6,10.6,2021
584,500822010170002,Belleville,Saint Clair,LARGE,177.0,16.4,2.4,3.0,1.8,3.4,92.4,90.5,94.5,93.7,90.8,25.0,88.0,8.3,11.2,2021
585,500822030170001,O Fallon,Saint Clair,MEDIUM,176.0,5.0,2.5,2.5,2.5,4.3,90.5,86.3,95.0,91.9,76.5,23.4,95.6,8.0,21.5,2021
586,510652000260001,Greenview,Menard,SMALL,176.0,10.9,7.2,11.4,2.9,6.3,90.5,83.3,,90.0,,5.6,72.7,27.7,34.7,2021
587,510652020260001,Petersburg,Menard,MEDIUM,176.0,6.4,3.5,3.5,3.4,5.9,82.1,78.4,85.4,83.6,63.0,16.9,88.4,8.5,5.6,2021
588,510652130260001,Athens,Menard,MEDIUM,176.0,4.1,2.8,2.4,3.1,4.9,87.0,93.3,80.9,86.4,78.1,18.7,95.1,22.4,43.5,2021
589,510840010260001,Buffalo,Sangamon,MEDIUM,176.0,10.2,3.8,3.8,3.7,8.1,91.2,94.4,87.5,96.6,78.6,13.4,88.6,4.7,7.4,2021
590,51084003A260001,Rochester,Sangamon,LARGE,176.0,3.7,0.5,0.5,0.5,1.8,95.1,94.4,95.7,96.0,77.8,23.1,92.1,6.1,18.6,2021
591,510840050260001,Chatham,Sangamon,LARGE,176.0,4.3,2.5,2.8,2.2,5.8,90.3,86.0,94.9,90.5,80.3,22.5,88.4,23.3,31.6,2021
592,510840080260001,Pleasant Plains,Sangamon,MEDIUM,176.0,4.1,3.2,3.8,2.5,6.1,90.1,86.8,93.8,91.1,93.8,18.6,90.4,10.3,12.9,2021
593,510840100260001,Auburn,Sangamon,MEDIUM,176.0,7.1,2.2,2.3,2.2,5.3,88.5,90.7,86.0,87.8,,19.6,87.1,22.8,41.7,2021
594,510840110260001,Pawnee,Sangamon,MEDIUM,177.0,4.7,6.1,5.0,7.1,18.6,84.6,80.8,88.5,86.3,60.0,12.4,82.4,15.2,29.8,2021
595,510840140260001,Riverton,Sangamon,MEDIUM,176.0,12.0,4.3,5.9,2.6,7.9,72.7,71.7,73.9,76.1,66.0,14.4,77.8,21.3,30.5,2021
596,510840150260001,Williamsville,Sangamon,MEDIUM,176.0,6.3,0.7,1.3,0.0,0.0,99.2,98.6,100.0,99.1,100.0,18.3,95.6,3.7,12.1,2021
597,510840160260001,New Berlin,Sangamon,MEDIUM,176.0,11.9,3.3,2.9,3.6,4.2,96.7,93.1,100.0,98.1,90.9,17.2,81.4,13.9,29.3,2021
598,510841860250001,Springfield,Sangamon,LARGE,176.0,13.3,8.5,10.4,6.4,9.5,67.8,62.6,73.0,66.9,64.6,19.0,86.0,78.7,84.1,2021
599,510841860250002,Springfield,Sangamon,LARGE,176.0,9.5,4.5,4.4,4.6,6.8,82.3,80.6,83.8,89.9,67.9,23.1,88.8,41.3,67.8,2021
600,510841860250003,Springfield,Sangamon,LARGE,176.0,15.8,10.3,11.5,9.1,12.0,63.5,58.9,68.4,63.4,60.8,18.9,87.9,67.9,79.3,2021
601,530601260260001,Havana,Mason,MEDIUM,176.0,14.9,2.8,4.6,1.3,4.1,91.9,81.8,100.0,94.2,95.5,17.1,78.2,15.1,17.4,2021
602,530601890260001,Mason City,Mason,MEDIUM,176.0,12.4,5.4,6.3,4.4,8.6,86.4,90.5,82.6,86.4,85.7,12.0,97.1,42.6,51.7,2021
603,530601910260001,Manito,Mason,MEDIUM,177.0,17.8,6.1,6.6,5.8,8.5,79.5,82.1,78.0,81.1,60.0,17.6,92.4,35.8,48.5,2021
604,530903030160002,Pekin,Tazewell,MEDIUM,176.0,9.1,2.6,3.6,1.6,4.4,88.1,84.0,92.7,88.7,79.6,15.8,90.9,45.5,63.8,2021
605,530903080160001,Washington,Tazewell,MEDIUM,176.0,5.3,1.9,2.4,1.4,4.4,92.2,88.8,96.0,93.1,78.3,21.5,92.8,10.6,25.3,2021
606,530903090160001,East Peoria,Tazewell,MEDIUM,176.0,13.2,3.3,3.6,2.9,4.1,83.5,82.1,84.7,84.1,78.1,18.0,90.6,13.7,21.2,2021
607,530907010260001,Mackinaw,Tazewell,MEDIUM,176.0,5.6,1.3,1.2,1.3,0.0,98.8,100.0,97.6,98.8,100.0,16.5,89.0,8.8,18.1,2021
608,530907020260001,Tremont,Tazewell,MEDIUM,176.0,5.3,1.5,1.8,1.3,4.5,91.6,92.9,90.2,91.7,90.9,15.6,88.4,25.4,42.6,2021
609,530907030260001,Delavan,Tazewell,SMALL,176.0,3.9,5.8,3.2,7.9,10.0,86.1,100.0,75.0,84.8,64.3,13.7,79.5,3.6,7.3,2021
610,530907090260006,Morton,Tazewell,LARGE,176.0,5.5,0.9,0.6,1.2,1.4,96.7,98.1,95.5,96.4,88.2,19.1,89.1,28.3,46.1,2021
611,531020060260001,Minonk,Woodford,MEDIUM,176.0,8.2,3.2,2.4,4.2,5.8,87.6,90.7,82.9,86.5,70.8,16.7,92.1,37.3,51.7,2021
612,531020110260001,El Paso,Woodford,MEDIUM,176.0,6.9,1.6,2.1,1.1,1.5,84.5,82.5,86.4,87.5,84.6,14.6,88.5,37.7,58.6,2021
613,531020210260001,Washburn,Woodford,SMALL,176.0,17.3,6.7,7.8,5.1,10.4,80.6,78.9,83.3,80.8,68.8,11.5,80.0,9.0,10.7,2021
614,531020600260001,Roanoke,Woodford,MEDIUM,176.0,9.3,2.8,5.4,0.0,6.5,84.1,83.3,85.0,83.7,70.0,10.8,95.1,16.0,37.5,2021
615,531021220170001,Metamora,Woodford,MEDIUM,176.0,3.5,1.5,1.1,1.9,5.3,94.4,93.3,95.4,94.4,71.4,16.9,91.6,26.7,42.6,2021
616,531021400260001,Eureka,Woodford,MEDIUM,176.0,7.1,1.6,2.1,1.0,1.1,94.4,93.7,95.2,94.9,91.3,16.4,92.6,9.6,27.4,2021
617,540920020260004,Westville,Vermilion,MEDIUM,176.0,8.4,5.1,6.5,3.6,5.9,84.8,88.6,81.3,85.2,80.0,18.0,87.7,0.3,0.4,2021
618,540920040260004,Georgetown,Vermilion,MEDIUM,176.0,11.2,4.0,4.7,3.3,5.7,83.1,78.0,91.7,83.0,73.7,13.0,86.4,30.5,39.2,2021
619,540920110260005,Hoopeston,Vermilion,MEDIUM,176.0,12.8,2.0,0.7,3.3,9.2,100.0,100.0,100.0,100.0,100.0,13.8,85.9,28.1,63.3,2021
620,540920760260001,Fithian,Vermilion,MEDIUM,176.0,7.0,3.7,6.2,0.7,5.0,85.2,79.1,92.1,85.5,76.7,17.1,80.0,65.7,76.7,2021
621,540921180240022,Danville,Vermilion,LARGE,176.0,8.7,7.2,7.8,6.7,8.8,61.0,54.2,68.0,65.2,50.4,14.4,86.6,6.7,8.0,2021
622,540922250170001,Armstrong,Vermilion,SMALL,176.0,8.0,5.1,6.2,4.2,8.5,80.0,81.8,78.9,79.3,54.5,10.2,82.4,28.6,44.9,2021
623,540925120260001,Catlin,Vermilion,MEDIUM,176.0,6.2,2.5,2.3,2.6,2.9,90.9,87.1,94.3,93.3,78.3,15.4,88.9,9.3,7.9,2021
624,540928000800001,Bismarck,Vermilion,,,7.7,1.7,2.6,0.6,1.8,86.7,89.3,82.4,86.9,75.9,17.1,44.2,25.2,43.2,2021
625,56099200U260001,Beecher,Will,MEDIUM,176.0,3.0,2.2,3.3,1.1,3.3,94.2,90.7,97.7,93.8,95.7,17.7,86.8,4.2,6.6,2021
626,56099201U260001,Crete,Will,LARGE,176.0,5.3,1.5,1.8,1.2,1.2,90.6,88.7,92.9,87.5,89.6,22.8,82.9,43.2,43.5,2021
627,560992020220001,Plainfield,Will,LARGE,177.0,5.9,1.4,1.8,0.8,2.5,91.7,89.6,94.0,93.0,84.2,25.7,92.2,1.8,3.4,2021
628,560992020220002,Plainfield,Will,LARGE,177.0,5.4,2.2,2.3,2.2,4.4,89.3,86.9,91.5,88.8,83.5,25.1,92.1,2.7,4.2,2021
629,560992020220003,Plainfield,Will,LARGE,177.0,3.7,1.4,1.6,1.2,2.5,92.8,90.9,94.9,94.4,83.9,26.6,92.9,1.4,3.3,2021
630,560992020220004,Plainfield,Will,LARGE,177.0,4.2,2.0,1.8,2.2,3.0,94.9,93.4,96.4,95.8,91.7,24.7,90.0,1.7,2.9,2021
631,560992040170001,Joliet,Will,LARGE,176.0,6.8,6.0,7.3,4.6,6.2,71.6,63.3,79.6,79.3,72.9,15.4,90.8,52.3,57.4,2021
632,560992040170003,Joliet,Will,LARGE,176.0,3.6,4.1,5.0,3.1,5.6,81.3,78.4,84.3,85.1,79.0,14.2,91.2,34.8,46.4,2021
633,560992050170001,Lockport,Will,LARGE,176.0,3.2,1.5,1.8,1.1,3.4,93.4,92.1,94.9,95.3,83.7,23.4,93.8,23.4,47.0,2021
634,56099207U260001,Peotone,Will,MEDIUM,176.0,3.8,2.3,2.4,2.3,3.2,78.9,74.6,84.3,84.6,58.3,18.5,79.4,37.3,56.8,2021
635,56099209U260001,Wilmington,Will,MEDIUM,176.0,4.3,0.9,0.0,1.8,0.7,93.5,92.1,95.1,92.9,93.8,14.7,84.5,16.3,26.4,2021
636,560992100160001,New Lenox,Will,LARGE,176.0,1.5,0.3,0.2,0.3,0.7,96.5,96.4,96.7,96.3,89.1,23.0,87.0,2.3,7.2,2021
637,560992100160002,Frankfort,Will,LARGE,176.0,1.5,0.8,0.6,1.0,3.2,96.1,95.5,96.6,95.9,93.1,21.4,92.4,3.5,8.9,2021
638,560992100160004,New Lenox,Will,LARGE,176.0,1.1,0.2,0.3,0.1,0.0,99.4,99.6,99.1,99.2,100.0,21.9,90.7,3.2,9.6,2021
639,56099255U260001,Braidwood,Will,MEDIUM,176.0,4.5,2.5,2.8,2.2,3.8,91.1,87.3,96.2,92.5,82.1,15.6,88.8,24.1,39.9,2021
640,56099365U260007,Bolingbrook,Will,LARGE,176.0,7.1,2.4,3.2,1.5,4.0,88.5,84.8,92.3,90.2,52.6,20.1,91.0,28.7,36.8,2021
641,56099365U260008,Romeoville,Will,LARGE,176.0,6.1,0.7,0.9,0.4,1.5,95.7,94.5,96.7,95.0,72.3,20.3,95.0,19.4,24.5,2021
642,601054280303014,Saint Charles,Dept Of Corrections,,,100.0,40.4,40.4,,41.3,37.9,37.9,,,39.3,3.3,53.6,,,2021
643,601054280303019,Naperville,Dept Of Corrections,,,87.5,24.0,0.0,54.5,26.1,,,,,,2.5,66.7,,,2021
644,601054280303028,Harrisburg,Dept Of Corrections,,,97.1,11.1,11.1,,11.3,72.4,72.4,,54.5,72.4,3.4,92.0,,,2021
645,651089010800001,Normal,State Of Illinois,,176.0,1.7,0.7,0.7,0.6,0.0,96.8,97.3,96.3,95.6,,22.2,93.0,3.6,0.0,2021
646,651089020800001,Urbana,State Of Illinois,,177.0,0.4,0.0,0.0,0.0,0.0,96.7,93.9,100.0,100.0,,,0.0,,,2021
647,651089030800001,Aurora,State Of Illinois,,,4.3,1.1,1.6,0.6,,96.6,95.1,98.1,95.2,,,,,,2021
648,010010010260001,Payson,Adams,MEDIUM,175.0,8.4,1.8,3.0,0.0,1.6,94.1,92.0,,93.8,100.0,14.3,86.0,12.7,19.6,2020
649,010010020260001,Liberty,Adams,MEDIUM,176.0,3.0,1.0,0.0,2.1,2.9,100.0,100.0,100.0,100.0,,16.8,89.5,5.7,10.2,2020
650,010010030260001,Camp Point,Adams,MEDIUM,175.0,7.9,3.1,3.5,2.6,6.5,93.8,91.4,96.6,93.7,85.7,14.0,82.8,7.4,14.2,2020
651,010010040260001,Mendon,Adams,MEDIUM,179.0,5.8,1.6,2.9,0.0,4.5,93.8,88.9,100.0,93.8,87.5,13.5,90.2,15.3,32.8,2020
652,010011720220003,Quincy,Adams,LARGE,181.0,19.2,7.9,7.2,8.6,9.8,76.9,72.2,82.1,79.8,67.5,22.5,85.8,23.3,36.8,2020
653,010050010260001,Mount Sterling,Brown,MEDIUM,177.0,7.2,1.9,3.1,0.9,5.1,87.2,80.0,94.7,89.2,78.9,15.2,69.6,8.3,12.8,2020
654,010090150260007,Beardstown,Cass,MEDIUM,176.0,9.9,6.6,6.1,7.1,6.9,72.3,67.7,76.9,72.0,75.2,23.2,82.6,13.3,14.9,2020
655,010090640260003,Virginia,Cass,SMALL,176.0,9.5,4.8,7.7,2.2,4.3,87.5,,100.0,86.7,,12.8,82.9,13.0,16.5,2020
656,010092620260002,Ashland,Cass,SMALL,178.0,11.1,3.6,6.8,0.0,6.7,82.1,77.3,88.2,86.1,57.1,13.1,68.0,11.6,21.4,2020
657,010690010260001,Franklin,Morgan,SMALL,177.0,3.3,1.1,2.3,0.0,0.0,100.0,100.0,100.0,100.0,,12.3,79.2,5.1,8.3,2020
658,010690060260001,Waverly,Morgan,SMALL,178.0,3.8,0.0,0.0,0.0,0.0,91.9,86.4,100.0,97.0,,12.1,72.4,16.5,26.9,2020
659,010690110260001,Meredosia,Morgan,SMALL,178.0,26.7,11.5,16.0,7.4,15.6,57.1,,,57.1,,10.2,82.1,14.8,17.6,2020
660,010690270260001,Concord,Morgan,SMALL,176.0,10.0,6.0,4.8,7.4,11.6,84.0,83.3,84.6,81.8,70.0,15.1,86.7,7.7,10.9,2020
661,010691170220014,Jacksonville,Morgan,LARGE,183.0,12.8,8.6,9.3,7.6,11.7,76.7,70.9,84.4,77.1,64.7,19.1,84.0,24.3,34.7,2020
662,010750030260002,Pleasant Hill,Pike,SMALL,177.0,16.9,8.3,4.4,12.8,11.3,70.8,72.7,69.2,70.8,64.7,11.0,84.0,19.3,25.0,2020
663,010750040260002,Griggsville,Pike,SMALL,176.0,7.9,11.8,10.4,13.3,27.5,75.9,68.8,84.6,80.0,75.0,11.3,80.0,12.0,21.9,2020
664,010750100260009,Pittsfield,Pike,MEDIUM,175.0,9.2,4.5,8.1,0.6,5.2,87.3,82.5,92.3,88.5,77.8,16.9,91.1,14.3,22.1,2020
665,010750120260001,Barry,Pike,MEDIUM,180.0,13.5,5.5,7.6,3.0,8.4,93.8,89.5,100.0,93.1,93.3,12.8,92.9,16.8,20.5,2020
666,010860010260001,Winchester,Scott,MEDIUM,178.0,4.1,1.2,1.1,1.2,1.5,100.0,100.0,100.0,100.0,100.0,13.8,84.5,13.8,20.9,2020
667,010860020260001,Bluffs,Scott,SMALL,178.0,6.3,1.4,2.2,0.0,0.0,94.7,92.3,,94.7,,13.1,83.3,10.1,9.8,2020
668,030030010260001,Mulberry Grove,Bond,SMALL,180.0,9.3,1.9,3.5,0.0,3.6,84.0,83.3,84.6,83.3,76.9,12.4,82.8,13.5,18.6,2020
669,030030020260001,Greenville,Bond,LARGE,175.0,7.3,2.5,2.2,2.9,4.9,91.9,87.9,95.4,93.5,83.3,19.7,88.4,12.3,21.1,2020
670,030110010260002,Morrisonville,Christian,SMALL,176.0,8.2,1.1,0.0,2.2,2.8,78.9,,83.3,78.9,,11.5,88.5,13.3,16.7,2020
671,030110030260006,Taylorville,Christian,LARGE,175.0,12.5,1.6,1.6,1.6,3.2,88.7,84.3,94.4,89.8,81.4,20.4,87.6,18.9,35.5,2020
672,030110040260002,Edinburg,Christian,SMALL,175.0,16.2,5.7,10.0,0.0,12.8,81.8,,,80.0,,12.7,83.3,18.0,30.0,2020
673,030110080260006,Pana,Christian,MEDIUM,176.0,9.7,2.6,4.7,0.5,4.1,92.4,88.4,95.9,92.2,85.0,21.0,90.1,14.0,20.0,2020
674,030110140240001,Kincaid,Christian,SMALL,176.0,15.0,4.1,6.7,1.9,7.0,82.6,83.3,81.8,82.6,,13.6,69.2,22.5,28.1,2020
675,030250100260001,Altamont,Effingham,MEDIUM,177.0,9.6,4.1,5.6,2.0,8.3,83.3,86.7,79.2,84.6,66.7,15.2,87.1,12.4,23.7,2020
676,030250200260001,Beecher City,Effingham,SMALL,176.0,10.7,5.2,10.6,0.0,4.8,82.6,,78.6,82.6,75.0,11.2,87.5,3.7,3.4,2020
677,030250300260001,Dieterich,Effingham,MEDIUM,175.0,2.7,1.6,0.0,3.1,4.2,88.5,100.0,75.0,95.8,,13.9,84.2,3.4,8.9,2020
678,030250400260001,Effingham,Effingham,LARGE,176.0,10.1,4.3,4.0,4.5,7.1,82.5,80.2,85.0,83.0,75.9,19.8,85.3,4.1,8.9,2020
679,030250500260001,Teutopolis,Effingham,MEDIUM,176.0,2.5,1.2,1.2,1.3,,100.0,100.0,100.0,100.0,,18.1,91.9,1.6,,2020
680,030262010260003,Brownstown,Fayette,SMALL,176.0,16.2,4.1,6.5,2.0,6.5,83.3,75.0,,85.7,63.6,12.3,58.3,25.0,32.6,2020
681,030262020260002,Saint Elmo,Fayette,SMALL,176.0,5.7,4.8,7.1,1.8,7.1,77.8,78.9,76.5,84.8,64.7,15.2,87.0,7.6,15.4,2020
682,030262030260001,Vandalia,Fayette,MEDIUM,177.0,11.5,3.3,2.6,4.0,4.7,94.8,89.4,100.0,94.6,92.3,17.3,89.8,16.3,21.3,2020
683,030262040260002,Ramsey,Fayette,SMALL,176.0,6.1,2.1,4.4,0.0,2.6,84.6,71.4,100.0,84.2,75.0,15.9,82.0,7.8,9.5,2020
684,030680020260001,Raymond,Montgomery,MEDIUM,176.0,9.6,4.0,2.9,4.9,5.9,83.8,94.4,73.7,85.7,75.0,13.3,87.0,9.4,9.2,2020
685,030680030260001,Hillsboro,Montgomery,MEDIUM,176.0,15.4,3.9,3.8,4.0,5.4,94.1,95.9,91.9,93.6,87.2,17.6,92.5,13.7,26.1,2020
686,030680120260001,Litchfield,Montgomery,MEDIUM,180.0,10.3,4.0,4.3,3.7,5.8,85.1,77.1,93.5,84.7,80.4,19.5,86.3,6.8,10.0,2020
687,030680220260001,Nokomis,Montgomery,MEDIUM,176.0,8.8,2.6,1.9,3.4,2.7,93.5,95.2,92.0,97.7,100.0,14.8,83.6,9.3,18.5,2020
688,040041000260001,Belvidere,Boone,LARGE,179.0,9.0,3.2,4.1,2.4,4.3,84.1,76.6,90.2,81.5,80.5,20.6,89.0,18.5,24.3,2020
689,040041000260002,Belvidere,Boone,LARGE,179.0,8.6,2.1,3.0,1.1,3.3,91.3,89.7,93.0,92.9,79.5,20.7,89.8,15.4,23.8,2020
690,040042000260003,Poplar Grove,Boone,MEDIUM,181.0,5.5,3.4,3.7,3.0,6.6,93.0,92.2,93.8,95.2,90.2,19.4,80.2,5.1,5.7,2020
691,041011220220002,Machesney Park,Winnebago,LARGE,177.0,16.5,5.1,5.6,4.5,6.3,82.5,79.3,86.1,83.8,74.1,24.3,84.8,23.9,31.7,2020
692,041012050250001,Rockford,Winnebago,LARGE,181.0,20.1,8.0,9.0,7.1,10.9,64.5,58.5,70.1,75.2,56.8,23.6,88.5,29.4,37.9,2020
693,041012050250002,Rockford,Winnebago,LARGE,181.0,22.0,8.5,8.8,8.1,9.5,64.7,57.3,72.7,69.4,62.2,23.4,87.6,22.3,25.6,2020
