,RCDTS,City,County,District Size,Total Number of School Days,Student Mobility Rate,High School Dropout Rate - Total,High School Dropout Rate - Male,High School Dropout Rate - Female,High School Dropout Rate - Low Income,High School 4-Year Graduation Rate - Total,High School 4-Year Graduation Rate - Male,High School 4-Year Graduation Rate - Female,High School 4-Year Graduation Rate - White,High School 4-Year Graduation Rate - Low Income,Avg Class Size - High School,Teacher Retention Rate,Chronic Absenteeism,Chronic Absenteeism - Low Income,Year
34,030262030260001,Vandalia,Fayette,MEDIUM,176.0,16.1,3.5,4.3,2.6,6.2,90.4,87.7,93.9,89.8,85.2,15.8,92.1,15.5,21.6,2021
35,030262040260002,Ramsey,Fayette,SMALL,176.0,8.9,0.7,1.4,0.0,0.0,100.0,100.0,100.0,100.0,100.0,16.3,87.0,21.7,30.3,2021
36,030680020260001,Raymond,Montgomery,MEDIUM,176.0,12.0,1.4,1.7,1.2,1.6,92.7,84.2,100.0,94.9,93.3,13.4,85.0,8.6,15.7,2021
37,030680030260001,Hillsboro,Montgomery,MEDIUM,176.0,10.4,3.1,2.8,3.4,5.1,91.6,89.4,93.8,91.0,83.3,17.1,92.5,34.0,51.8,2021
38,030680120260001,Litchfield,Montgomery,MEDIUM,177.0,10.1,4.5,5.9,3.0,5.9,87.9,75.6,98.1,87.1,77.8,15.8,88.8,15.4,22.6,2021
39,030680220260001,Nokomis,Montgomery,MEDIUM,176.0,10.6,1.7,1.0,2.6,3.4,95.8,96.0,95.7,95.6,100.0,10.8,79.1,13.3,27.9,2021
40,040041000260001,Belvidere,Boone,LARGE,176.0,8.6,3.7,4.4,2.8,4.6,85.6,80.2,92.2,90.4,81.1,21.2,91.9,30.5,40.9,2021
41,040041000260002,Belvidere,Boone,LARGE,176.0,8.5,2.5,3.0,2.0,4.4,87.2,84.2,90.6,90.7,72.4,21.0,88.9,22.4,38.2,2021
42,040042000260003,Poplar Grove,Boone,MEDIUM,176.0,6.5,3.8,5.5,2.2,3.0,82.3,77.0,88.5,80.5,73.2,20.2,84.0,12.7,14.8,2021
43,041011220220002,Machesney Park,Winnebago,LARGE,176.0,13.7,3.7,4.4,2.9,5.4,83.1,78.0,88.5,84.0,73.0,25.7,94.5,43.2,53.1,2021
44,041012050250001,Rockford,Winnebago,LARGE,176.0,26.5,14.3,18.1,10.5,20.0,56.3,49.0,62.9,65.0,47.8,19.2,85.5,65.0,75.0,2021
45,041012050250002,Rockford,Winnebago,LARGE,176.0,21.2,10.6,12.8,8.0,12.7,62.8,58.1,67.7,71.1,56.0,17.1,87.6,53.9,60.5,2021
