,schoolcode,year,mathpass,totaltested,percenttotaltested,white,black,hispanic,disability,lowincome,classsize,schoolmode
44,110870210260001,2018,0.161,62.0,0.984,0.9516129032258064,0.0,0.0,0.0,0.5,10.0,0.0
45,120130250260001,2021,0.208,48.0,0.96,0.9583333333333334,0.0,0.0,0.0,0.3958333333333333,17.0,0.0
46,120130250260001,2019,0.188,48.0,1.0,0.9791666666666666,0.0,0.0,0.2291666666666666,0.3125,16.9,0.0
47,120130250260001,2018,0.2689999999999999,52.0,1.0,0.9230769230769232,0.0,0.0,0.0,0.3653846153846153,11.0,0.0
48,120130350260001,2021,0.09,78.0,1.0,0.9487179487179488,0.0,0.0,0.0,0.2435897435897435,19.4,0.0909090909090909
49,120130350260001,2019,0.085,58.0,0.935,0.9655172413793104,0.0,0.0,0.0,0.5172413793103449,17.6,0.0
50,120130350260001,2018,0.149,94.0,0.989,0.9148936170212766,0.0,0.0,0.0,0.4574468085106383,20.0,0.0
51,120170010260001,2021,0.214,28.0,1.0,0.8214285714285714,0.0,0.0,0.0,0.0,8.9,0.1363636363636363
52,120170010260001,2019,0.179,28.0,0.966,0.9642857142857144,0.0,0.0,0.0,0.6428571428571429,12.1,0.0
53,120170010260001,2018,0.259,27.0,0.964,0.9629629629629628,0.0,0.0,0.0,0.0,13.0,0.0
54,120170020260001,2021,0.236,110.0,0.982,0.9090909090909092,0.0,0.0,0.1,0.3545454545454545,19.6,0.0
55,120170020260001,2019,0.171,105.0,1.0,0.9428571428571428,0.0,0.0,0.1619047619047619,0.3714285714285714,19.8,0.0
56,120170020260001,2018,0.317,101.0,1.0,0.8811881188118812,0.0,0.0,0.1188118811881188,0.3168316831683168,20.0,0.0
57,120170030260001,2021,0.278,18.0,1.0,1.0,0.0,0.0,0.0,0.0,9.1,0.0454545454545454
58,120170030260001,2019,0.3329999999999999,21.0,1.0,1.0,0.0,0.0,0.0,0.0,10.4,0.0
59,120170030260001,2018,0.24,25.0,0.962,1.0,0.0,0.0,0.0,0.0,8.0,0.0
60,120170040260001,2021,0.1669999999999999,42.0,0.913,1.0,0.0,0.0,0.0,0.4761904761904761,14.5,0.0454545454545454
61,120170040260001,2019,0.244,41.0,0.976,0.951219512195122,0.0,0.0,0.0,0.3658536585365853,14.3,0.0
62,120170040260001,2018,0.257,35.0,1.0,0.9428571428571428,0.0,0.0,0.0,0.3714285714285714,26.0,0.0
63,120400010260001,2021,0.228,101.0,0.99,0.9603960396039604,0.0,0.0,0.0,0.3564356435643564,21.8,0.0
64,120400010260001,2019,0.22,118.0,0.983,0.9661016949152542,0.0,0.0,0.0,0.3389830508474576,23.9,0.0
65,120400010260001,2018,0.278,108.0,1.0,0.9722222222222222,0.0,0.0,0.0,0.3981481481481481,22.0,0.0
66,120510200260008,2021,0.138,80.0,0.976,0.9375,0.0,0.0,0.225,0.45,14.5,0.1818181818181818
67,120510200260008,2019,0.139,72.0,0.973,0.9027777777777778,0.0,0.0,0.0,0.5,18.3,0.0
68,120510200260008,2018,0.104,67.0,1.0,0.9850746268656716,0.0,0.0,0.0,0.4626865671641791,16.0,0.0
69,120800010260001,2021,0.177,164.0,0.959,0.9146341463414634,0.0,0.0,0.1280487804878048,0.274390243902439,23.0,0.3181818181818182
70,120800010260001,2019,0.178,157.0,0.963,0.929936305732484,0.0,0.0,0.1337579617834395,0.4267515923566879,23.7,0.0
71,120800010260001,2018,0.237,173.0,0.989,0.9190751445086706,0.0,0.0,0.0982658959537572,0.4161849710982659,18.0,0.0
72,130140010260001,2021,0.185,65.0,0.915,0.8769230769230769,0.0,0.0,0.1538461538461538,0.3384615384615385,15.2,0.0454545454545454
73,130140010260001,2019,0.262,65.0,0.956,0.8923076923076924,0.0,0.0,0.2,0.4461538461538462,15.0,0.0
74,130140010260001,2018,0.337,86.0,1.0,0.9186046511627908,0.0,0.0,0.0,0.2906976744186046,16.0,0.0
75,130140030260006,2021,0.326,89.0,0.947,0.9101123595505618,0.0,0.0,0.0,0.1797752808988764,14.7,0.0
76,130140030260006,2019,0.425,87.0,1.0,0.9080459770114944,0.0,0.0,0.1724137931034483,0.2183908045977011,20.7,0.0
77,130140030260006,2018,0.476,103.0,1.0,0.8640776699029126,0.0,0.0,0.1941747572815534,0.2718446601941747,19.0,0.0
78,130140710160001,2021,0.35,160.0,1.0,0.925,0.0,0.06875,0.1,0.175,22.3,0.0
79,130140710160001,2019,0.406,143.0,0.993,0.9790209790209792,0.0,0.0,0.1818181818181818,0.1958041958041958,21.9,0.0
80,130140710160001,2018,0.474,135.0,0.993,0.9703703703703704,0.0,0.0,0.0888888888888888,0.2,19.0,0.0
81,130410010260001,2021,0.212,33.0,0.971,0.9090909090909092,0.0,0.0,0.0,0.3939393939393939,14.0,0.3181818181818182
82,130410010260001,2019,0.129,31.0,0.969,1.0,0.0,0.0,0.0,0.0,14.0,0.0
83,130410010260001,2018,0.0,22.0,1.0,0.9545454545454546,0.0,0.0,0.0,0.0,10.0,0.0
84,130412010170001,2021,0.131,244.0,0.847,0.7295081967213115,0.0983606557377049,0.0696721311475409,0.2131147540983606,0.4795081967213114,21.1,0.4545454545454545
85,130412010170001,2019,0.192,265.0,0.877,0.7132075471698113,0.1622641509433962,0.0377358490566037,0.1584905660377358,0.5471698113207547,24.2,0.0
86,130412010170001,2018,0.142,254.0,0.969,0.7716535433070866,0.1377952755905512,0.0,0.1653543307086614,0.5551181102362205,18.0,0.0
87,130412090270001,2021,0.135,52.0,0.929,0.9615384615384616,0.0,0.0,0.0,0.3461538461538461,21.7,0.3636363636363636
88,130412090270001,2019,0.351,37.0,0.974,0.945945945945946,0.0,0.0,0.0,0.0,20.3,0.0
89,130412090270001,2018,0.15,40.0,1.0,0.95,0.0,0.0,0.0,0.0,14.0,0.0
90,130413180270001,2021,0.067,30.0,0.968,1.0,0.0,0.0,0.0,0.4333333333333333,15.1,0.0
91,130413180270001,2019,0.207,29.0,1.0,1.0,0.0,0.0,0.0,0.4137931034482758,17.4,0.0
92,130413180270001,2018,0.032,31.0,0.969,0.935483870967742,0.0,0.0,0.0,0.0,18.0,0.0
93,130581000260002,2021,0.154,13.0,0.929,1.0,0.0,0.0,0.0,0.0,12.8,0.2727272727272727
94,130581000260002,2019,0.083,12.0,1.0,1.0,0.0,0.0,0.0,0.0,11.9,0.0
95,130581000260002,2018,0.0,11.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0
96,130582000170001,2021,0.208,144.0,0.804,0.7847222222222222,0.0763888888888889,0.0694444444444444,0.1666666666666666,0.5416666666666666,21.4,0.4545454545454545
97,130582000170001,2019,0.1969999999999999,224.0,0.929,0.7321428571428571,0.1160714285714285,0.0625,0.1875,0.59375,21.3,0.0
98,130582000170001,2018,0.1939999999999999,191.0,0.96,0.8010471204188482,0.0785340314136125,0.0,0.1675392670157068,0.5549738219895288,18.0,0.0
99,130584010260001,2021,0.153,59.0,0.983,0.9661016949152542,0.0,0.0,0.0,0.423728813559322,14.1,0.0909090909090909
100,130584010260001,2019,0.104,48.0,0.98,0.9583333333333334,0.0,0.0,0.2083333333333333,0.5416666666666666,13.6,0.0
101,130584010260001,2018,0.171,41.0,1.0,0.975609756097561,0.0,0.0,0.0,0.4146341463414634,11.0,0.0
102,130585010260001,2021,0.048,21.0,0.955,0.9047619047619048,0.0,0.0,0.0,0.9047619047619048,12.0,0.4545454545454545
103,130585010260001,2019,0.0,19.0,0.95,0.9473684210526316,0.0,0.0,0.0,0.5789473684210527,15.2,0.0
104,130585010260001,2018,0.03,33.0,0.971,0.9696969696969696,0.0,0.0,0.0,0.6666666666666666,15.0,0.0
105,130586000160001,2021,0.21,143.0,0.973,0.902097902097902,0.0,0.0,0.0909090909090909,0.3916083916083916,22.2,0.409090909090909
106,130586000160001,2019,0.278,151.0,0.981,0.933774834437086,0.0,0.0,0.1721854304635761,0.5231788079470199,21.4,0.0
107,130586000160001,2018,0.188,165.0,1.0,0.9757575757575756,0.0,0.0,0.1272727272727272,0.503030303030303,17.0,0.0
108,130587220260001,2021,0.133,15.0,0.938,1.0,0.0,0.0,0.0,0.7333333333333333,11.1,0.3636363636363636
109,130587220260001,2019,0.0,12.0,1.0,0.9166666666666666,0.0,0.0,0.0,0.8333333333333334,11.7,0.0
110,130587220260001,2018,0.083,24.0,0.96,1.0,0.0,0.0,0.0,0.625,15.0,0.0
111,130950990160001,2021,0.1169999999999999,103.0,0.99,0.941747572815534,0.0,0.0,0.203883495145631,0.3009708737864077,20.3,0.4090909090909091
112,130950990160001,2019,0.287,115.0,0.958,0.9130434782608696,0.0,0.0,0.1739130434782608,0.3739130434782609,21.5,0.0
113,130950990160001,2018,0.402,92.0,0.989,0.9782608695652174,0.0,0.0,0.0,0.2065217391304347,19.0,0.0
114,150162990250001,2021,0.236,313.0,0.921,0.2140575079872204,0.0926517571884984,0.5654952076677316,0.2587859424920127,0.6038338658146964,27.2,0.6363636363636364
115,150162990250001,2019,0.316,291.0,0.986,0.134020618556701,0.1683848797250859,0.5567010309278351,0.1924398625429553,0.8109965635738832,27.4,0.0
116,150162990250001,2018,0.3289999999999999,289.0,0.997,0.1003460207612456,0.1107266435986159,0.6020761245674741,0.1072664359861591,0.8581314878892734,23.0,0.0
117,150162990250003,2021,0.017,176.0,0.659,0.0,0.6704545454545454,0.3125,0.1988636363636363,0.9090909090909092,23.6,0.7727272727272727
118,150162990250003,2019,0.011,250.0,0.833,0.0,0.592,0.388,0.264,0.9,30.1,0.0
119,150162990250003,2018,0.031,187.0,0.921,0.0,0.5026737967914439,0.4919786096256685,0.1764705882352941,0.9251336898395722,20.0,0.0
120,150162990250006,2021,0.054,93.0,0.853,0.0,0.2795698924731182,0.6989247311827957,0.0,0.6559139784946236,21.6,0.7727272727272727
121,150162990250006,2019,0.186,129.0,1.0,0.0,0.3720930232558139,0.6124031007751938,0.1007751937984496,0.8914728682170543,26.1,0.0
122,150162990250006,2018,0.111,99.0,0.98,0.0,0.3838383838383838,0.6060606060606061,0.0,0.9292929292929292,20.0,0.0
123,150162990250012,2021,0.016,63.0,0.685,0.0,0.9523809523809524,0.0,0.2063492063492063,0.9047619047619048,32.9,0.7727272727272727
124,150162990250012,2019,0.0,84.0,0.757,0.0,0.9404761904761904,0.0,0.2738095238095238,0.9404761904761904,30.2,0.0
